AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/upperSco/r13874688,242.0765 -19.0165
/data1/phot_cal/spitzer/upperSco/r13874944,242.179583 -19.014444
/data1/phot_cal/spitzer/upperSco/r13875456,242.497208 -18.002528
/data1/phot_cal/spitzer/upperSco/r13876224,241.383958 -19.554444
/data1/phot_cal/spitzer/upperSco/r13876480,242.545875 -19.767806
/data1/phot_cal/spitzer/upperSco/r13876992,240.545667 -20.130444
/data1/phot_cal/spitzer/upperSco/r13877504,240.499042 -19.872306
/data1/phot_cal/spitzer/upperSco/r13877760,241.380375 -19.44
/data1/phot_cal/spitzer/upperSco/r13878016,242.473417 -17.913167
/data1/phot_cal/spitzer/upperSco/r13860096,244.244875 -21.304083
/data1/phot_cal/spitzer/upperSco/r13860864,245.022875 -20.056361
/data1/phot_cal/spitzer/upperSco/r13862144,244.617708 -23.274306
/data1/phot_cal/spitzer/upperSco/r13865728,245.338125 -22.108972
/data1/phot_cal/spitzer/upperSco/r13866496,245.117208 -21.509
/data1/phot_cal/spitzer/upperSco/r13868032,245.209292 -22.594083
/data1/phot_cal/spitzer/upperSco/r13868288,243.584583 -19.113361
