File# ACenX ACenY FCenX FCenY Time[MJD] Raw_Flux Bkg_Flux Res_Flux
11641856_0000 130.12723167094532 126.9541241265619 130.20499628529066 126.74354822418329 53204.9626309 1069.0638100826618 20.38297270301836 1048.6808373796434
11641856_0000 130.12660441115207 126.95375743038768 130.21054668664706 126.73987631319244 53204.9626541 1036.5249896671367 -8.436548567982209 1044.961538235119
11641856_0001 467.82138067916543 118.70908066041866 130.21054668664706 126.73987631319244 53204.962992 1036.5249896671367 -8.436548567982209 1044.961538235119
11641856_0001 467.9016231423338 118.73990325758048 130.21054668664706 126.73987631319244 53204.9630152 1036.5249896671367 -8.436548567982209 1044.961538235119
11641856_0002 67.58218418211113 189.5842472630808 67.87588782127649 189.20563553952013 53204.9633578 1052.0485346034789 12.403595050545288 1039.6449395529335
11641856_0002 67.40080498803395 189.5877603842455 67.757036587443 189.2467520736954 53204.9633809 1018.3338778673013 -11.511892357987003 1029.8457702252883
11641856_0003 401.49467401474294 182.16845951149773 67.757036587443 189.2467520736954 53204.9636957 1018.3338778673013 -11.511892357987003 1029.8457702252883
11641856_0003 401.611948954119 182.12814814269504 67.757036587443 189.2467520736954 53204.9637188 1018.3338778673013 -11.511892357987003 1029.8457702252883
11641856_0004 193.29481118166686 189.4110392998324 193.20648678738632 189.19641153747827 53204.9640197 1075.7531064445284 12.78025374290127 1062.972852701627
11641856_0004 193.11804991343357 189.44997836058656 193.18072104318296 189.19733511156508 53204.9640429 1046.1139452724767 -8.526848742678418 1054.640794015155
11641856_0005 535.567242595177 183.87189567644384 193.18072104318296 189.19733511156508 53204.9643578 1046.1139452724767 -8.526848742678418 1054.640794015155
11641856_0005 535.7200189958056 183.8514211685471 193.18072104318296 189.19733511156508 53204.9643809 1046.1139452724767 -8.526848742678418 1054.640794015155
11641856_0006 193.03575330423322 63.855323035544785 193.07675576773835 63.16887156973389 53204.9647235 1092.895365025797 9.691079960603233 1083.2042850651937
11641856_0006 192.90873479060633 63.823538079401004 193.033588299033 63.152360374600136 53204.9647466 1057.1758296676226 -7.493882779221864 1064.6697124468444
11641856_0007 536.2414146581483 53.23773371939855 193.033588299033 63.152360374600136 53204.9650567 1057.1758296676226 -7.493882779221864 1064.6697124468444
11641856_0007 536.3130185460027 53.233786929495466 193.033588299033 63.152360374600136 53204.9650799 1057.1758296676226 -7.493882779221864 1064.6697124468444
11641856_0008 66.82101123300916 64.06364586650352 67.06937112071952 63.66570919857055 53204.9654318 1071.9079957648353 14.113705505437935 1057.7942902593973
11641856_0008 66.72659695820234 64.05110952247125 67.01245378355138 63.68461649351945 53204.9654549 1052.206476014078 -10.416386574421601 1062.6228625884994
11641856_0009 401.6890981160475 54.19381799791907 67.01245378355138 63.68461649351945 53204.9657697 1052.206476014078 -10.416386574421601 1062.6228625884994
11641856_0009 401.7966372992133 54.178154222330576 67.01245378355138 63.68461649351945 53204.9657929 1052.206476014078 -10.416386574421601 1062.6228625884994
11642112_0000 130.13028924248556 126.98280668018477 129.96216956335337 126.86255583510835 53214.761698 1080.9458041999244 12.031194153161021 1068.9146100467633
11642112_0000 130.1338395413594 126.98383251494822 129.9644450429017 126.8659177041008 53214.7617211 1063.4567471237124 -7.274645721736793 1070.7313928454491
