AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/taurus/r3963392,04 31 19.7 +27 03 37
/data1/phot_cal/spitzer/taurus/r3963392,04 27 03.1 +25 42 15
/data1/phot_cal/spitzer/taurus/r3963392,04 27 07.9 +25 35 43
/data1/phot_cal/spitzer/taurus/r3963392,04 26 59.3 +26 06 24
/data1/phot_cal/spitzer/taurus/r3963392,04 27 04.2 +25 59 57
/data1/phot_cal/spitzer/taurus/r3963392,04 27 27.7 +26 12 02
/data1/phot_cal/spitzer/taurus/r3963392,04 27 33.4 +26 05 26
/data1/phot_cal/spitzer/taurus/r3963392,04 27 58.2 +26 19 10
/data1/phot_cal/spitzer/taurus/r3963392,04 28 02.2 +26 12 41
/data1/phot_cal/spitzer/taurus/r3963392,04 26 29.4 +26 24 04
/data1/phot_cal/spitzer/taurus/r3963392,04 26 34.7 +26 17 36
/data1/phot_cal/spitzer/taurus/r3963392,04 25 17.3 +26 17 45
/data1/phot_cal/spitzer/taurus/r3963392,04 25 23.3 +26 11 12
/data1/phot_cal/spitzer/taurus/r3963392,04 24 45.1 +26 10 12
/data1/phot_cal/spitzer/taurus/r3963392,04 24 50.1 +26 03 34
/data1/phot_cal/spitzer/taurus/r3963648,04 40 09.7 +26 05 15
/data1/phot_cal/spitzer/taurus/r3963648,04 40 13.8 +25 58 45
/data1/phot_cal/spitzer/taurus/r3963648,04 39 50.6 +26 02 25
/data1/phot_cal/spitzer/taurus/r3963648,04 39 55.6 +25 55 40
/data1/phot_cal/spitzer/taurus/r3963648,04 39 13.7 +25 53 17
/data1/phot_cal/spitzer/taurus/r3963648,04 39 18.4 +25 46 38
/data1/phot_cal/spitzer/taurus/r3963648,04 39 21.4 +25 44 53
/data1/phot_cal/spitzer/taurus/r3963648,04 39 25.5 +25 38 21
/data1/phot_cal/spitzer/taurus/r3963648,04 39 36.0 +25 41 36
/data1/phot_cal/spitzer/taurus/r3963648,04 39 39.4 +25 35 06
/data1/phot_cal/spitzer/taurus/r3963648,04 39 56.0 +25 44 54
/data1/phot_cal/spitzer/taurus/r3963648,04 40 00.6 +25 38 28
/data1/phot_cal/spitzer/taurus/r3963648,04 38 28.7 +26 10 00
/data1/phot_cal/spitzer/taurus/r3963648,04 38 33.0 +26 03 20
/data1/phot_cal/spitzer/taurus/r3963648,04 36 19.3 +25 42 51
/data1/phot_cal/spitzer/taurus/r3963648,04 36 23.6 +25 36 19
/data1/phot_cal/spitzer/taurus/r3963648,04 33 39.0 +25 20 30
/data1/phot_cal/spitzer/taurus/r3963648,04 33 43.9 +25 13 58
/data1/phot_cal/spitzer/taurus/r3963648,04 33 54.7 +26 13 25
/data1/phot_cal/spitzer/taurus/r3963648,04 34 00.0 +26 06 55
/data1/phot_cal/spitzer/taurus/r3963648,04 33 36.5 +26 09 43
/data1/phot_cal/spitzer/taurus/r3963648,04 33 41.8 +26 03 09
/data1/phot_cal/spitzer/taurus/r3963648,04 33 14.2 +26 14 20
/data1/phot_cal/spitzer/taurus/r3963648,04 33 19.3 +26 07 40
/data1/phot_cal/spitzer/taurus/r3963648,04 32 43.2 +25 52 30
/data1/phot_cal/spitzer/taurus/r3963648,04 32 47.6 +25 45 49
/data1/phot_cal/spitzer/taurus/r3963648,04 31 58.1 +25 43 26
/data1/phot_cal/spitzer/taurus/r3963648,04 32 03.5 +25 36 50
/data1/phot_cal/spitzer/taurus/r3966208,04 20 52.8 +17 46 43
/data1/phot_cal/spitzer/taurus/r3966208,04 20 58.1 +17 39 59
/data1/phot_cal/spitzer/taurus/r3966208,04 18 22.3 +16 58 35
/data1/phot_cal/spitzer/taurus/r3966208,04 18 26.1 +16 52 08
/data1/phot_cal/spitzer/taurus/r3967744,04 39 16.0 +30 32 10
/data1/phot_cal/spitzer/taurus/r3967744,04 39 21.4 +30 25 26
/data1/phot_cal/spitzer/taurus/r4913152,04 34 09.3 +24 06 27
/data1/phot_cal/spitzer/taurus/r4913664,04 36 14.5 +24 40 47
/data1/phot_cal/spitzer/taurus/r4914176,04 40 41.0 +29 50 28
/data1/phot_cal/spitzer/taurus/r4914688,04 43 32.7 +29 36 43
/data1/phot_cal/spitzer/taurus/r4913920,04 36 14.5 +24 40 47
/data1/phot_cal/spitzer/taurus/r4914432,04 40 41.0 +29 50 28
/data1/phot_cal/spitzer/taurus/r4914944,04 43 32.7 +29 36 43
/data1/phot_cal/spitzer/taurus/r4913408,04 34 09.3 +24 06 27
/data1/phot_cal/spitzer/taurus/r5075712,04 28 35.6 +26 55 46
/data1/phot_cal/spitzer/taurus/r5076736,04 29 34.7 +26 58 55
/data1/phot_cal/spitzer/taurus/r5076736,04 29 30.4 +27 05 34
/data1/phot_cal/spitzer/taurus/r5086464,04 42 36.0 +29 47 12
/data1/phot_cal/spitzer/taurus/r5657856,04 09 22.3 +17 16 38
/data1/phot_cal/spitzer/taurus/r5657856,04 09 10.4 +17 22 22
/data1/phot_cal/spitzer/taurus/r5658368,04 18 56.7 +17 23 45
/data1/phot_cal/spitzer/taurus/r5658368,04 18 45.0 +17 29 30
/data1/phot_cal/spitzer/taurus/r5658624,04 20 29.9 +31 23 55
/data1/phot_cal/spitzer/taurus/r5658624,04 20 16.7 +31 29 37
/data1/phot_cal/spitzer/taurus/r5658880,04 24 54.1 +26 43 42
/data1/phot_cal/spitzer/taurus/r5658880,04 24 41.6 +26 49 27
/data1/phot_cal/spitzer/taurus/r5659136,04 34 40.0 +25 01 20
/data1/phot_cal/spitzer/taurus/r5659136,04 34 34.8 +25 07 15
/data1/phot_cal/spitzer/taurus/r5659136,04 36 01.9 +23 52 33
/data1/phot_cal/spitzer/taurus/r5659136,04 35 50.8 +23 58 23
/data1/phot_cal/spitzer/taurus/r5659136,04 29 26.6 +24 39 51
/data1/phot_cal/spitzer/taurus/r5659136,04 29 24.0 +24 46 58
/data1/phot_cal/spitzer/taurus/r5659392,04 38 13.7 +20 22 59
/data1/phot_cal/spitzer/taurus/r5659392,04 38 08.9 +20 28 55
/data1/phot_cal/spitzer/taurus/r5659392,04 37 32.2 +18 51 54
/data1/phot_cal/spitzer/taurus/r5659392,04 37 20.8 +18 57 42
/data1/phot_cal/spitzer/taurus/r5659648,04 45 52.0 +15 56 04
/data1/phot_cal/spitzer/taurus/r5659648,04 45 47.5 +16 02 07
/data1/phot_cal/spitzer/taurus/r5659648,04 38 43.9 +15 46 41
/data1/phot_cal/spitzer/taurus/r5659648,04 38 33.2 +15 52 30
/data1/phot_cal/spitzer/taurus/r5660416,04 52 35.9 +17 30 50
/data1/phot_cal/spitzer/taurus/r5660416,04 52 25.4 +17 36 45
/data1/phot_cal/spitzer/taurus/r5660416,04 52 50.9 +16 22 31
/data1/phot_cal/spitzer/taurus/r5660416,04 52 46.4 +16 28 21
/data1/phot_cal/spitzer/taurus/r5660928,04 58 40.7 +20 46 52
/data1/phot_cal/spitzer/taurus/r5660928,04 58 36.4 +20 53 01
/data1/phot_cal/spitzer/taurus/r5660928,04 57 35.7 +20 14 55
/data1/phot_cal/spitzer/taurus/r5660928,04 57 25.4 +20 20 48
/data1/phot_cal/spitzer/taurus/r5661184,05 03 12.1 +25 23 44
/data1/phot_cal/spitzer/taurus/r5661184,05 03 01.7 +25 29 40
/data1/phot_cal/spitzer/taurus/r5672960,04 12 51.2 +19 37 27
/data1/phot_cal/spitzer/taurus/r5672960,04 12 45.7 +19 43 03
/data1/phot_cal/spitzer/taurus/r5672960,04 05 24.7 +20 09 53
/data1/phot_cal/spitzer/taurus/r5672960,04 05 12.4 +20 15 37
/data1/phot_cal/spitzer/taurus/r5710336,04 32 58.3 +17 36 01
/data1/phot_cal/spitzer/taurus/r5710336,04 32 47.1 +17 41 50
/data1/phot_cal/spitzer/taurus/r5073920,04 21 56.4 +15 29 49
/data1/phot_cal/spitzer/taurus/r5073920,04 21 52.4 +15 36 27
/data1/phot_cal/spitzer/taurus/r5658112,04 09 56.4 +24 46 52
/data1/phot_cal/spitzer/taurus/r5658112,04 09 43.6 +24 52 34
/data1/phot_cal/spitzer/taurus/r5660160,04 41 13.9 +25 56 35
/data1/phot_cal/spitzer/taurus/r5660160,04 41 02.5 +26 02 27
/data1/phot_cal/spitzer/taurus/r5076224,04 28 35.6 +26 55 46
/data1/phot_cal/spitzer/taurus/r5077248,04 29 34.7 +26 58 55
/data1/phot_cal/spitzer/taurus/r5077248,04 29 30.4 +27 05 34
/data1/phot_cal/spitzer/taurus/r5074432,04 21 56.4 +15 29 49
/data1/phot_cal/spitzer/taurus/r5074432,04 21 52.4 +15 36 27
/data1/phot_cal/spitzer/taurus/r5086976,04 42 36.0 +29 47 12
/data1/phot_cal/spitzer/taurus/r5074688,04 23 36.4 +26 40 07
/data1/phot_cal/spitzer/taurus/r5074688,04 23 30.6 +26 46 46
/data1/phot_cal/spitzer/taurus/r5077760,04 30 06.4 +24 25 55
/data1/phot_cal/spitzer/taurus/r5077760,04 30 01.7 +24 32 34
/data1/phot_cal/spitzer/taurus/r5078784,04 31 53.3 +24 36 11
/data1/phot_cal/spitzer/taurus/r5079808,04 32 36.1 +24 52 05
/data1/phot_cal/spitzer/taurus/r5079808,04 32 31.5 +24 58 45
/data1/phot_cal/spitzer/taurus/r5080832,04 32 45.6 +24 27 38
/data1/phot_cal/spitzer/taurus/r5081856,04 35 52.4 +24 09 33
