AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/upperSco/r13857280/ch2/bcd/*_sub2d.fits,239.737167 -13.16975
/data1/phot_cal/spitzer/upperSco/r13857792/ch2/bcd/*_sub2d.fits,239.547333 -14.279306
/data1/phot_cal/spitzer/upperSco/r13860608/ch2/bcd/*_sub2d.fits,242.146417 -20.758222
/data1/phot_cal/spitzer/upperSco/r13861120/ch2/bcd/*_sub2d.fits,246.012042 -25.414972
/data1/phot_cal/spitzer/upperSco/r13861888/ch2/bcd/*_sub2d.fits,233.043042 -21.966806
/data1/phot_cal/spitzer/upperSco/r13863424/ch2/bcd/*_sub2d.fits,233.817083 -25.734194
/data1/phot_cal/spitzer/upperSco/r13863680/ch2/bcd/*_sub2d.fits,241.7695 -16.94325
/data1/phot_cal/spitzer/upperSco/r13866240/ch2/bcd/*_sub2d.fits,234.75025 -19.732472
/data1/phot_cal/spitzer/upperSco/r13867264/ch2/bcd/*_sub2d.fits,239.585625 -18.623667
/data1/phot_cal/spitzer/upperSco/r13869568/ch2/bcd/*_sub2d.fits,245.946542 -26.271056
/data1/phot_cal/spitzer/upperSco/r13872128/ch2/bcd/*_sub2d.fits,242.83575 -18.348583
/data1/phot_cal/spitzer/upperSco/r13873920/ch2/bcd/*_sub2d.fits,236.055583 -25.383083
/data1/phot_cal/spitzer/upperSco/r13874176/ch2/bcd/*_sub2d.fits,233.990833 -23.401278
/data1/phot_cal/spitzer/upperSco/r13874688/ch2/bcd/*_sub2d.fits,242.0765 -19.0165
/data1/phot_cal/spitzer/upperSco/r13874944/ch2/bcd/*_sub2d.fits,242.179583 -19.014444
/data1/phot_cal/spitzer/upperSco/r13875456/ch2/bcd/*_sub2d.fits,242.497208 -18.002528
/data1/phot_cal/spitzer/upperSco/r13876224/ch2/bcd/*_sub2d.fits,241.383958 -19.554444
/data1/phot_cal/spitzer/upperSco/r13876480/ch2/bcd/*_sub2d.fits,242.545875 -19.767806
/data1/phot_cal/spitzer/upperSco/r13876992/ch2/bcd/*_sub2d.fits,240.545667 -20.130444
/data1/phot_cal/spitzer/upperSco/r13877504/ch2/bcd/*_sub2d.fits,240.499042 -19.872306
/data1/phot_cal/spitzer/upperSco/r13877760/ch2/bcd/*_sub2d.fits,241.380375 -19.44
/data1/phot_cal/spitzer/upperSco/r13878016/ch2/bcd/*_sub2d.fits,242.473417 -17.913167
/data1/phot_cal/spitzer/upperSco/r13860096/ch2/bcd/*_sub2d.fits,244.244875 -21.304083
/data1/phot_cal/spitzer/upperSco/r13860864/ch2/bcd/*_sub2d.fits,245.022875 -20.056361
/data1/phot_cal/spitzer/upperSco/r13862144/ch2/bcd/*_sub2d.fits,244.617708 -23.274306
/data1/phot_cal/spitzer/upperSco/r13865728/ch2/bcd/*_sub2d.fits,245.338125 -22.108972
/data1/phot_cal/spitzer/upperSco/r13866496/ch2/bcd/*_sub2d.fits,245.117208 -21.509
/data1/phot_cal/spitzer/upperSco/r13868032/ch2/bcd/*_sub2d.fits,245.209292 -22.594083
/data1/phot_cal/spitzer/upperSco/r13868288/ch2/bcd/*_sub2d.fits,243.584583 -19.113361
