AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/michaela/r40416512,05 24 30.1697133942 -38 58 10.746312369
/data1/phot_cal/spitzer/michaela/r40416768,18 27 49.4852008378 -29 49 00.705771732
/data1/phot_cal/spitzer/michaela/r40417024,20 50 10.5576923971 +29 23 02.753151113
/data1/phot_cal/spitzer/michaela/r40417280,16 28 52.66102 +18 24 50.6185
/data1/phot_cal/spitzer/michaela/r40417536,01 49 48.8488900158 -38 24 10.211517202
/data1/phot_cal/spitzer/michaela/r40417792,02 47 27.42146 +19 22 18.5443
/data1/phot_cal/spitzer/michaela/r40418048,09 30 28.0876027969 -32 06 12.253221772
/data1/phot_cal/spitzer/michaela/r40418304,15 42 44.56551 +26 17 44.2847
/data1/phot_cal/spitzer/michaela/r40418560,17 12 37.6225425811 +18 21 04.301046965
/data1/phot_cal/spitzer/michaela/r40418816,21 03 29.5061339688 -01 34 46.807545864
/data1/phot_cal/spitzer/michaela/r40419072,10 31 04.5420225146 +82 33 31.255563167
/data1/phot_cal/spitzer/michaela/r40419328,03 26 59.2228715011 -63 29 56.761818941
/data1/phot_cal/spitzer/michaela/r40419584,23 35 00.2769821069 +01 36 19.433847921
/data1/phot_cal/spitzer/michaela/r40419840,04 50 25.0899800053 +63 19 58.611219709
/data1/phot_cal/spitzer/michaela/r40420096,13 18 34.8660287076 -51 17 08.811936586
/data1/phot_cal/spitzer/michaela/r40420352,07 31 07.7116430742 +14 36 50.916452800
/data1/phot_cal/spitzer/michaela/r40420608,14 13 40.7900398020 -00 50 43.672377393
/data1/phot_cal/spitzer/michaela/r40420864,01 07 08.1980398289 +63 56 28.776559541
/data1/phot_cal/spitzer/michaela/r40421120,01 54 06.1181087324 +66 10 34.289508731
/data1/phot_cal/spitzer/michaela/r40421376,02 14 13.5707638088 -03 38 06.733534168
/data1/phot_cal/spitzer/michaela/r40421632,15 35 08.44835 -41 10 00.3247
/data1/phot_cal/spitzer/michaela/r40421888,10 28 03.88212 +48 47 05.6554
/data1/phot_cal/spitzer/michaela/r40422144,18 47 19.7922332753 +68 16 44.834946125
/data1/phot_cal/spitzer/michaela/r40422400,08 11 21.6509382830 +38 43 52.729347036
/data1/phot_cal/spitzer/michaela/r40422656,04 03 56.6021200158 +08 11 50.157629633
/data1/phot_cal/spitzer/michaela/r40422912,04 23 25.0639692398 +16 46 38.158913556
/data1/phot_cal/spitzer/michaela/r40423168,06 55 18.6667052671 +25 22 32.503802377
/data1/phot_cal/spitzer/michaela/r40423424,03 40 22.0654223510 -03 13 01.124769689
/data1/phot_cal/spitzer/michaela/r40423680,01 12 30.6367741360 -16 59 56.361313690
/data1/phot_cal/spitzer/michaela/r40423936,10 14 19.1632274905 +21 04 29.817290641
/data1/phot_cal/spitzer/michaela/r40424192,13 59 49.2762205750 -03 32 59.311775809
/data1/phot_cal/spitzer/michaela/r40424448,05 46 01.8856610139 +37 17 04.737324425
/data1/phot_cal/spitzer/michaela/r40424704,22 23 29.09743 +32 27 33.9152
/data1/phot_cal/spitzer/michaela/r40424960,00 44 37.1551872657 -18 56 48.327582473
/data1/phot_cal/spitzer/michaela/r40425216,21 08 45.4902104001 -04 25 36.493307291
/data1/phot_cal/spitzer/michaela/r40425472,02 32 58.9310691317 -72 41 14.747068970
/data1/phot_cal/spitzer/michaela/r40425728,19 12 11.3570370282 +57 40 19.123653642
/data1/phot_cal/spitzer/michaela/r40425984,01 53 57.6822151003 +10 36 50.495630079
/data1/phot_cal/spitzer/michaela/r40426240,15 47 38.1003329294 -09 28 49.585006109
/data1/phot_cal/spitzer/michaela/r40426496,17 20 39.5675395123 +32 28 03.877348066
/data1/phot_cal/spitzer/michaela/r40426752,13 04 57.4764463511 -52 26 34.528444847
/data1/phot_cal/spitzer/michaela/r40427008,02 14 02.45880 +47 29 03.2496
/data1/phot_cal/spitzer/michaela/r40427264,13 55 49.9935929209 +14 03 23.410983657
/data1/phot_cal/spitzer/michaela/r40427520,07 26 42.8515794608 +49 12 41.503478669
/data1/phot_cal/spitzer/michaela/r40427776,00 53 01.1351585594 -30 21 24.893457143
/data1/phot_cal/spitzer/michaela/r40428032,03 44 51.1252497246 +11 55 12.013448543
/data1/phot_cal/spitzer/michaela/r40428288,01 39 56.1182983122 +15 15 33.463214438
/data1/phot_cal/spitzer/michaela/r40428544,22 46 49.7311740821 +44 20 02.372223230
/data1/phot_cal/spitzer/michaela/r40428800,23 30 13.4384454664 -20 23 27.448522890
/data1/phot_cal/spitzer/michaela/r40429056,17 38 34.0957297661 +71 19 56.329921118
/data1/phot_cal/spitzer/michaela/r40429312,21 40 29.7739187280 -74 04 27.414475573
/data1/phot_cal/spitzer/michaela/r40429568,14 52 51.0733048711 -37 48 11.385519446
/data1/phot_cal/spitzer/michaela/r40429824,09 29 13.9570346646 +68 46 05.158765590
/data1/phot_cal/spitzer/michaela/r40430080,01 35 01.0078925286 -29 54 37.342172838
/data1/phot_cal/spitzer/michaela/r40430336,22 25 51.1543469427 -75 00 56.477508119
/data1/phot_cal/spitzer/michaela/r40430592,16 13 48.5584718157 -57 34 13.843908786
/data1/phot_cal/spitzer/michaela/r40430848,05 37 09.8851202601 -80 28 08.831347245
/data1/phot_cal/spitzer/michaela/r40431104,05 28 44.8916324761 -65 26 55.289846904
/data1/phot_cal/spitzer/michaela/r40431360,02 46 17.2768103655 +11 46 30.861090855
/data1/phot_cal/spitzer/michaela/r40431616,22 12 57.4841027860 -26 19 40.051295327
/data1/phot_cal/spitzer/michaela/r40431872,15 21 52.9325996324 +20 58 39.910979308
/data1/phot_cal/spitzer/michaela/r40432128,19 10 52.2685909967 -47 09 31.046557043
/data1/phot_cal/spitzer/michaela/r40432384,01 16 29.2527780479 +42 56 21.902677393
/data1/phot_cal/spitzer/michaela/r40432640,15 47 29.1006767984 -37 54 58.722306957
/data1/phot_cal/spitzer/michaela/r40432896,12 06 52.8979866444 -64 36 49.430301595
/data1/phot_cal/spitzer/michaela/r40433152,16 49 24.6975788544 +39 16 34.479089364
/data1/phot_cal/spitzer/michaela/r40433408,06 00 03.5038608130 +02 42 23.596778811
/data1/phot_cal/spitzer/michaela/r40433664,22 32 35.4809304168 +20 13 48.074207743
/data1/phot_cal/spitzer/michaela/r40433920,09 20 59.37178 +38 11 17.7050
/data1/phot_cal/spitzer/michaela/r40434176,06 06 59.7730790842 -46 12 20.289176563
/data1/phot_cal/spitzer/michaela/r40434432,03 08 06.6627420784 -24 45 34.734160278
/data1/phot_cal/spitzer/michaela/r40434688,17 25 00.0982708577 +67 18 24.150141561
/data1/phot_cal/spitzer/michaela/r40434944,13 34 03.2377805308 +33 13 42.213289751
/data1/phot_cal/spitzer/michaela/r40435200,14 47 32.7265637197 -00 16 53.305928889
/data1/phot_cal/spitzer/michaela/r40435456,17 55 44.8982140711 +18 30 01.385183084
/data1/phot_cal/spitzer/michaela/r40435712,02 37 24.3880289210 -52 32 34.913179191
/data1/phot_cal/spitzer/michaela/r40435968,01 39 36.0178939231 +45 52 39.986465984
/data1/phot_cal/spitzer/michaela/r40436224,00 57 19.7464245762 -62 14 44.148614922
/data1/phot_cal/spitzer/michaela/r40436480,21 18 27.2693236958 -43 20 04.746121764
/data1/phot_cal/spitzer/michaela/r40436736,13 03 49.6537235404 -05 09 42.587789925
/data1/phot_cal/spitzer/michaela/r40436992,13 25 06.6780914839 +23 51 15.912595283
/data1/phot_cal/spitzer/michaela/r40437248,15 47 17.0894486722 -00 16 11.680433197
/data1/phot_cal/spitzer/michaela/r40437504,12 37 42.2792849479 -27 08 19.985537552
/data1/phot_cal/spitzer/michaela/r40437760,05 54 04.2409953924 -60 01 24.491747849
/data1/phot_cal/spitzer/michaela/r40438016,05 19 23.6851974096 -27 22 07.985311789
/data1/phot_cal/spitzer/michaela/r40438272,21 05 19.7460700579 +07 04 09.473066092
/data1/phot_cal/spitzer/michaela/r40438528,22 11 11.9132474607 +36 15 22.766885842
/data1/phot_cal/spitzer/michaela/r40438784,17 29 20.06958 +29 23 30.9071
/data1/phot_cal/spitzer/michaela/r40439040,23 53 08.5914961349 +29 01 05.034661327
/data1/phot_cal/spitzer/michaela/r40439296,02 18 01.4418270170 +01 45 28.113786258
/data1/phot_cal/spitzer/michaela/r40439552,23 07 07.0592611009 -23 09 34.025184465
/data1/phot_cal/spitzer/michaela/r40439808,09 20 44.3171981498 -05 45 14.294867349
/data1/phot_cal/spitzer/michaela/r40440064,22 08 23.0147774399 -32 59 18.378259174
/data1/phot_cal/spitzer/michaela/r40440320,22 27 59.5575482946 +57 41 42.080559778
/data1/phot_cal/spitzer/michaela/r40440576,23 48 25.69120 -12 59 14.8583
/data1/phot_cal/spitzer/michaela/r40440832,11 13 13.2345720205 +04 28 56.440397582
/data1/phot_cal/spitzer/michaela/r40441088,12 50 57.8779209427 -52 47 14.745806262
/data1/phot_cal/spitzer/michaela/r40441344,15 55 47.5877409266 +37 56 49.039703238
/data1/phot_cal/spitzer/michaela/r40441600,02 00 12.9561933930 +13 03 07.021294655
/data1/phot_cal/spitzer/michaela/r40441856,14 30 47.7170256167 -08 38 46.788634509
/data1/phot_cal/spitzer/michaela/r40442112,16 04 56.7938239883 +39 09 23.434791067
/data1/phot_cal/spitzer/michaela/r40442368,14 30 44.9753771297 +35 27 13.432952502
/data1/phot_cal/spitzer/michaela/r40442624,06 10 14.4741194137 -74 45 10.963587125
/data1/phot_cal/spitzer/michaela/r40442880,21 44 29.9616939944 +41 35 50.862564230
/data1/phot_cal/spitzer/michaela/r40443136,21 07 17.5072840857 -57 01 56.340949977
/data1/phot_cal/spitzer/michaela/r40443392,02 48 38.04295 -37 24 03.6090
/data1/phot_cal/spitzer/michaela/r40443648,13 59 27.6850579973 -05 25 25.916132363
/data1/phot_cal/spitzer/michaela/r40443904,13 06 54.6381572671 -49 54 22.523212430
/data1/phot_cal/spitzer/michaela/r40444160,16 50 19.3808901705 +07 14 51.660479016
/data1/phot_cal/spitzer/michaela/r40444416,11 00 04.2569699829 +22 49 58.646653116
/data1/phot_cal/spitzer/michaela/r40444672,17 25 45.2323043669 +02 06 41.123668100
/data1/phot_cal/spitzer/michaela/r40444928,04 59 01.36250 -16 22 33.6890
/data1/phot_cal/spitzer/michaela/r40445184,10 31 43.2243753707 +57 06 57.107712240
/data1/phot_cal/spitzer/michaela/r40445440,13 41 29.8930744274 +64 49 20.679551826
/data1/phot_cal/spitzer/michaela/r40445696,00 57 04.4099171750 +69 02 36.434812807
/data1/phot_cal/spitzer/michaela/r40445952,19 31 07.9709304846 +58 35 09.576438460
/data1/phot_cal/spitzer/michaela/r40446208,16 06 29.4634642900 -45 10 23.665968742
/data1/phot_cal/spitzer/michaela/r40446464,15 21 22.3252367778 -40 38 51.022228791
/data1/phot_cal/spitzer/michaela/r40446720,23 35 28.8946565621 +31 01 01.832810749
/data1/phot_cal/spitzer/michaela/r40446976,00 42 48.2494872638 +35 32 55.658040363
/data1/phot_cal/spitzer/michaela/r40447232,13 59 19.4031250318 +22 52 11.104265518
/data1/phot_cal/spitzer/michaela/r40447488,12 57 40.2114201833 +35 13 30.069647793
/data1/phot_cal/spitzer/michaela/r40447744,23 20 15.8495188985 -03 55 08.897426309
/data1/phot_cal/spitzer/michaela/r40448000,17 29 06.5561989448 -23 50 10.003820210
/data1/phot_cal/spitzer/michaela/r40448256,01 15 46.16226 -68 52 33.3356
/data1/phot_cal/spitzer/michaela/r40448512,09 27 28.3705209162 +39 30 17.911643717
/data1/phot_cal/spitzer/michaela/r40448768,07 45 34.9191268687 -34 10 21.283643355
/data1/phot_cal/spitzer/michaela/r40449024,03 44 09.1731527402 -38 16 54.372038074
/data1/phot_cal/spitzer/michaela/r40449280,04 03 39.3923962880 -47 51 42.788152135
/data1/phot_cal/spitzer/michaela/r40449536,04 47 36.2917607568 -16 56 04.041927355
/data1/phot_cal/spitzer/michaela/r40449792,11 57 00.2950932080 -04 46 57.982532909
/data1/phot_cal/spitzer/michaela/r40450048,17 02 36.4039047898 +47 04 54.762678953
/data1/phot_cal/spitzer/michaela/r40450304,21 18 02.9740871098 +00 09 41.670751995
/data1/phot_cal/spitzer/michaela/r40450560,02 32 05.1959811729 -15 14 40.405229867
/data1/phot_cal/spitzer/michaela/r40450816,14 12 45.2385338671 -03 19 12.299886475
/data1/phot_cal/spitzer/michaela/r40451072,09 06 51.2171926214 +38 16 42.368144335
/data1/phot_cal/spitzer/michaela/r40451328,14 16 49.4468762425 -05 38 38.535708015
/data1/phot_cal/spitzer/michaela/r40451584,15 28 31.2763064035 +38 43 25.417712104
/data1/phot_cal/spitzer/michaela/r40451840,01 16 39.3585465924 +25 19 53.321095300
