AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
17133824,119.970225,-10.7311305556,2006-05-03T10:51:49.956,CRYO,FULL,7/192,NO,medium,4,30.0,53858.4526615,-0.27134834161811205,0.20660320806149016,-76.13947696509517,0
17133824,120.000845833,-10.7893113889,2006-05-03T10:51:49.956,CRYO,FULL,0/192,NO,medium,4,30.0,53858.4526615,nan,nan,nan,0
17133824,120.002716667,-10.7287272222,2006-05-03T10:51:49.956,CRYO,FULL,0/192,NO,medium,4,30.0,53858.4526615,nan,nan,nan,0
17133824,120.009125,-10.7740391667,2006-05-03T10:51:49.956,CRYO,FULL,1/192,NO,medium,4,30.0,53858.4526615,-2.7848585973717452,0.0,-0.0,0
17133824,120.0003875,-10.7061413889,2006-05-03T10:51:49.956,CRYO,FULL,1/192,NO,medium,4,30.0,53858.4526615,0.2878389209187831,0.0,0.0,0
17133824,120.118891667,-10.6975613889,2006-05-03T10:51:49.956,CRYO,FULL,6/192,NO,medium,4,30.0,53858.4526615,-3.2153699260580635,0.4529018245216652,-14.085527791102647,0
