AORKEY,Target RA,Target Dec,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
47021056,114.555525,21.5055561111,2012-12-30T19:54:38.948,WARM,FULL,6/96,NO,medium,2,1.2,56291.8296175,0.5075474429654898,0.3103081839281945,61.1387542640607,0
47021056,114.557745833,21.5483188889,2012-12-30T19:54:38.948,WARM,FULL,4/96,NO,medium,2,1.2,56291.8296175,-0.4668163588059501,0.24978478252518851,-53.50814679333485,0
47021056,114.563670833,21.6280783333,2012-12-30T19:54:38.948,WARM,FULL,5/96,NO,medium,2,1.2,56291.8296175,-6.604110805730244,1.1561820864817958,-17.507006173769852,0
47021056,114.572554167,21.4750002778,2012-12-30T19:54:38.948,WARM,FULL,0/96,NO,medium,2,1.2,56291.8296175,nan,nan,nan,0
47021056,114.602816667,21.5772380556,2012-12-30T19:54:38.948,WARM,FULL,0/96,NO,medium,2,1.2,56291.8296175,nan,nan,nan,0
47021056,114.647841667,21.6384333333,2012-12-30T19:54:38.948,WARM,FULL,7/96,NO,medium,2,1.2,56291.8296175,0.07819142161578325,0.2693740571018326,344.50589532120534,0
47021056,114.698383333,21.5966052778,2012-12-30T19:54:38.948,WARM,FULL,6/96,NO,medium,2,1.2,56291.8296175,0.17460661608832204,0.14136283937117267,80.96075769526767,0
47021056,114.511483333,21.5158444444,2012-12-30T19:54:38.948,WARM,FULL,3/96,NO,medium,2,1.2,56291.8296175,0.2773199652874017,0.13974786975485542,50.39228589619472,0
47021056,114.567116667,21.54187,2012-12-30T19:54:38.948,WARM,FULL,4/96,NO,medium,2,1.2,56291.8296175,0.2676684211081896,0.5917047295486548,221.05884851821656,0
47021056,114.571095833,21.6060658333,2012-12-30T19:54:38.948,WARM,FULL,0/96,NO,medium,2,1.2,56291.8296175,nan,nan,nan,0
47021056,114.593583333,21.6154080556,2012-12-30T19:54:38.948,WARM,FULL,0/96,NO,medium,2,1.2,56291.8296175,nan,nan,nan,0
47021056,114.618616667,21.5580577778,2012-12-30T19:54:38.948,WARM,FULL,0/96,NO,medium,2,1.2,56291.8296175,nan,nan,nan,0
47021312,114.555525,21.5055561111,2012-12-22T20:54:25.960,WARM,FULL,7/325,NO,small,1,12.0,56283.8711338,0.35439918971608514,0.08547936087910196,24.119513633081624,0
47021312,114.557745833,21.5483188889,2012-12-22T20:54:25.960,WARM,FULL,6/325,NO,small,1,12.0,56283.8711338,0.03260241213457971,0.8607879385167686,2640.258441502783,0
47021312,114.563670833,21.6280783333,2012-12-22T20:54:25.960,WARM,FULL,8/325,NO,small,1,12.0,56283.8711338,-9.284619277452071,3.5949880867048587,-38.71982231339713,0
