File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
1,X,X,X,O,nan,nan,nan,nan,53204.9589689,nan,nan,nan
2,X,X,X,X,126.82414131088957,127.1322595615766,1.6290368757904246,1.3834610052844756,53204.9592097,11925.163108386536,174.64349924595865,11750.519609140578
3,X,X,X,O,nan,nan,nan,nan,53204.9594597,nan,nan,nan
4,X,X,X,X,64.04450922011704,191.14485818752615,1.108467510342921,1.595896815890846,53204.9596819,12105.852807801264,139.20462669897384,11966.64818110229
5,X,X,X,O,nan,nan,nan,nan,53204.9598902,nan,nan,nan
6,X,X,X,X,190.16696760124904,189.9667631830623,1.5016716244735622,1.0457907694433715,53204.9601125,12398.020962266197,124.21409989170044,12273.806862374497
7,X,X,X,O,nan,nan,nan,nan,53204.9603579,nan,nan,nan
8,X,X,X,X,189.66406134666175,63.522617945947914,1.8494241200480475,1.9316164275543657,53204.96058,12288.445432490624,164.46065408967252,12123.98477840095
9,X,X,X,O,nan,nan,nan,nan,53204.9608393,nan,nan,nan
10,X,X,X,X,62.86685482980649,64.100873040768,1.266117310839251,1.673661870891336,53204.9610569,11921.830093828914,93.85357652485243,11827.976517304061
1,X,X,X,O,nan,nan,nan,nan,53214.7580755,nan,nan,nan
2,X,X,X,X,127.06510606131042,127.66176905227766,1.5401170560127069,1.3057105826727664,53214.7583161,11902.336819862254,169.8213382939067,11732.515481568347
3,X,X,X,O,nan,nan,nan,nan,53214.7585708,nan,nan,nan
4,X,X,X,X,64.11194839252575,191.16772202617383,1.5506930629241933,1.0980600791009933,53214.7587929,12292.515472089151,70.999599280575,12221.515872808577
5,X,X,X,O,nan,nan,nan,nan,53214.7590013,nan,nan,nan
6,X,X,X,X,190.16004100532012,190.1512644909731,1.1231703930074708,1.5095819590590651,53214.759219,12629.589065910353,179.53511117723582,12450.053954733117
7,X,X,X,O,nan,nan,nan,nan,53214.7594642,nan,nan,nan
8,X,X,X,X,189.6268221707871,63.88142452379917,1.392858566936008,1.8121093313535157,53214.7596912,12214.951269762449,145.525936136012,12069.425333626437
9,X,X,X,O,nan,nan,nan,nan,53214.7599457,nan,nan,nan
10,X,X,X,X,62.852056730360026,64.48885098467359,1.6662651618943494,1.9301124718998754,53214.7601633,12047.105186290746,141.810313979859,11905.294872310888
1,X,X,X,O,nan,nan,nan,nan,53174.0904446,nan,nan,nan
2,X,X,X,X,127.3546570646892,127.07644985311825,1.5480549307425144,1.3221237438222038,53174.09069,11813.72335156888,-37.849267572492735,11851.572619141372
3,X,X,X,O,nan,nan,nan,nan,53174.0909399,nan,nan,nan
4,X,X,X,X,64.48619565400683,190.8400025616724,1.443823746604839,1.8820821216130215,53174.0911622,11584.279395371632,-65.47657936315976,11649.755974734791
5,X,X,X,O,nan,nan,nan,nan,53174.0913705,nan,nan,nan
6,X,X,X,X,190.76529273092035,189.74549294042316,1.5664760829108084,1.8279021334521586,53174.0915927,12137.95714905508,31.498182634864136,12106.458966420216
7,X,X,X,O,nan,nan,nan,nan,53174.091838,nan,nan,nan
8,X,X,X,X,190.06245531329222,63.10556212283138,1.0321827611286838,1.525734879550707,53174.0920602,12337.503905060348,50.35186948418416,12287.152035576164
9,X,X,X,O,nan,nan,nan,nan,53174.0923195,nan,nan,nan
10,X,X,X,X,63.16352856760918,63.87362448108041,1.1359370172978644,1.353283255716619,53174.0925417,12093.387440943756,82.32917211035847,12011.058268833398
1,X,X,X,O,nan,nan,nan,nan,53228.9307495,nan,nan,nan
2,X,X,X,X,127.2038444397584,127.30143058628734,1.3341960886524373,1.6832969616372269,53228.9309903,11738.842864455313,-76.39536964375712,11815.23823409907
3,X,X,X,O,nan,nan,nan,nan,53228.9312403,nan,nan,nan
4,X,X,X,X,64.23576113799714,191.05004201922762,1.1059219824398236,1.4105389694278994,53228.9314625,12061.364875099662,125.73324015558657,11935.631634944075
5,X,X,X,O,nan,nan,nan,nan,53228.9316708,nan,nan,nan
6,X,X,X,X,190.3698916742283,190.0152948046213,1.5856096054154207,1.3062588420170589,53228.931893,12470.542053494988,34.72988660727308,12435.812166887716
7,X,X,X,O,nan,nan,nan,nan,53228.9321384,nan,nan,nan
8,X,X,X,X,189.91491372945495,63.67795552344036,1.4870234211426538,1.6023711304657278,53228.932356,12217.565972879522,81.45879316504197,12136.10717971448
9,X,X,X,O,nan,nan,nan,nan,53228.9326153,nan,nan,nan
10,X,X,X,X,63.075237236287656,64.21456625088443,1.158872814157994,1.6017556333031373,53228.9328329,11904.540840997633,123.89326819692636,11780.647572800706
1,X,X,X,O,nan,nan,nan,nan,53235.7866084,nan,nan,nan
2,X,X,X,X,126.99843409047331,127.83916247406546,1.389582231961491,1.181707736236609,53235.7868537,11742.885593222818,24.357544540040877,11718.528048682778
3,X,X,X,O,nan,nan,nan,nan,53235.7871037,nan,nan,nan
4,X,X,X,X,64.02550932216322,191.28031558231518,1.72141594232831,1.2770369268490527,53235.7873259,12146.794756095278,80.01850525029748,12066.776250844981
5,X,X,X,O,nan,nan,nan,nan,53235.7875343,nan,nan,nan
6,X,X,X,X,190.07721678570266,190.24256622822887,1.179187078746345,1.6311230801042005,53235.7877565,12214.728283825201,130.14687440559865,12084.581409419603
7,X,X,X,O,nan,nan,nan,nan,53235.7880019,nan,nan,nan
8,X,X,X,X,189.2722911880804,63.885262804842704,1.3332003691095715,1.4596299140961575,53235.7882241,11994.387530891501,70.78921990042801,11923.598310991074
9,X,X,X,O,nan,nan,nan,nan,53235.7884833,nan,nan,nan
10,X,X,X,X,62.55213277489613,64.61764831421802,1.8184133980923736,1.9900303806727662,53235.7887055,11961.315816493723,177.16636901555412,11784.149447478168
1,X,X,X,O,nan,nan,nan,nan,53250.4554133,nan,nan,nan
2,X,X,X,X,127.13140459225069,127.05987608822704,1.0013329320162014,1.5070240118902876,53250.4556587,11733.243563989745,-68.62491151352882,11801.868475503274
3,X,X,X,O,nan,nan,nan,nan,53250.4559133,nan,nan,nan
4,X,X,X,X,64.09808199920222,190.65821331602046,1.304458295434366,1.5667238819843303,53250.4561355,11791.613220343957,-154.65414440461296,11946.26736474857
5,X,X,X,O,nan,nan,nan,nan,53250.4563438,nan,nan,nan
6,X,X,X,X,190.17265069863612,189.39119164553662,1.3235545052816367,1.7833419150052263,53250.4565707,12149.228330335067,-56.815005398570726,12206.043335733637
7,X,X,X,O,nan,nan,nan,nan,53250.456816,nan,nan,nan
8,X,X,X,X,189.4852780638462,62.95667844492923,1.769078291384762,1.3506865517173754,53250.4570382,12196.199705932248,50.20492702224925,12145.994778909999
9,X,X,X,O,nan,nan,nan,nan,53250.4572975,nan,nan,nan
10,X,X,X,X,62.72063437963627,63.59227129346612,1.7689354074303603,1.9556587237747296,53250.4575198,12183.061534375127,134.04754536333908,12049.013989011788
1,X,X,X,O,nan,nan,nan,nan,53261.7273266,nan,nan,nan
2,X,X,X,X,127.02296036172508,127.8344102996215,1.3843740304715708,1.174676620266246,53261.7275718,11741.460766364362,-131.04851270815567,11872.509279072518
3,X,X,X,O,nan,nan,nan,nan,53261.7278219,nan,nan,nan
4,X,X,X,X,64.0069469693915,191.35933975474532,1.3531364888097066,1.7700274192047312,53261.7280442,12030.505938724205,-26.454939206781134,12056.960877930987
5,X,X,X,O,nan,nan,nan,nan,53261.728257,nan,nan,nan
6,X,X,X,X,190.12820873822184,190.25131640305636,1.596444198470107,1.2422424791319544,53261.7284794,12444.535273453288,-29.439704478301966,12473.97497793159
7,X,X,X,O,nan,nan,nan,nan,53261.7287247,nan,nan,nan
8,X,X,X,X,189.44685248261362,63.88752159824826,1.78502257211402,1.3943326848263444,53261.7289468,12226.550749907125,99.46105144970448,12127.08969845742
9,X,X,X,O,nan,nan,nan,nan,53261.7292061,nan,nan,nan
10,X,X,X,X,62.78756674304723,64.45706299233753,1.9623018438093065,1.7498002557375893,53261.7294283,11821.244555045929,201.5651394355708,11619.679415610359
1,X,X,X,O,nan,nan,nan,nan,53282.8889169,nan,nan,nan
2,X,X,X,X,127.15380621216859,127.55386096470254,1.3371349849912966,1.7413274730144874,53282.8891621,11798.900022065238,22.292193766357013,11776.60782829888
3,X,X,X,O,nan,nan,nan,nan,53282.8894168,nan,nan,nan
4,X,X,X,X,64.27526146405442,191.10057602960862,1.424852181973181,1.2278149386749746,53282.8896345,11955.482096067015,43.6942739271755,11911.787822139839
5,X,X,X,O,nan,nan,nan,nan,53282.8898473,nan,nan,nan
6,X,X,X,X,190.62923027334193,190.0873365712388,1.8061226226328444,1.362560614223157,53282.8900696,12648.496865739864,5.6652016121954345,12642.831664127669
7,X,X,X,O,nan,nan,nan,nan,53282.890315,nan,nan,nan
8,X,X,X,X,189.99020907240987,63.82376861570659,1.261524024693196,1.3379505718710538,53282.8905371,12435.463559397167,203.58996589246544,12231.8735935047
9,X,X,X,O,nan,nan,nan,nan,53282.8907965,nan,nan,nan
10,X,X,X,X,63.14793210394713,64.53983957507926,1.2855521166678876,1.746742065214909,53282.8910186,12197.047569582403,76.57898120413371,12120.46858837827
1,X,X,X,O,nan,nan,nan,nan,53290.1790693,nan,nan,nan
2,X,X,X,X,126.97044878616069,127.86059763598466,1.4038003015669047,1.2037588372660206,53290.1793193,12167.824923514672,595.3245387608714,11572.500384753801
3,X,X,X,O,nan,nan,nan,nan,53290.179574,nan,nan,nan
4,X,X,X,X,64.04459155865693,191.25410356078436,1.2190411040114177,1.6672493600374292,53290.1797961,12204.284925243106,60.53813231487252,12143.746792928234
5,X,X,X,O,nan,nan,nan,nan,53290.1800045,nan,nan,nan
6,X,X,X,X,190.13610702723165,190.1270503389787,1.5369223026779744,1.061219110780888,53290.1802267,12178.079532898077,94.71062193405743,12083.36891096402
7,X,X,X,O,nan,nan,nan,nan,53290.1804767,nan,nan,nan
8,X,X,X,X,189.5360507871649,63.7081168749027,1.9246737395982423,1.6874965029437834,53290.1807036,12243.27714401402,57.94164746016885,12185.335496553851
9,X,X,X,O,nan,nan,nan,nan,53290.1809628,nan,nan,nan
10,X,X,X,X,62.82319372450745,64.10079223680435,1.7005224620535133,1.30601102925421,53290.181185,11977.441157297555,111.13032085609622,11866.310836441458
1,X,X,X,O,nan,nan,nan,nan,53305.0441708,nan,nan,nan
2,X,X,X,X,127.1308737442603,127.80986073134784,1.1743117359096145,1.3597670596834968,53305.0444209,11869.884415314295,-32.826570479739,11902.710985794034
3,X,X,X,O,nan,nan,nan,nan,53305.0446754,nan,nan,nan
4,X,X,X,X,64.23770502742283,191.18325186064314,1.2684960301606294,1.5008225167087803,53305.0448976,12025.899661703781,98.67639496771271,11927.223266736068
5,X,X,X,O,nan,nan,nan,nan,53305.045106,nan,nan,nan
6,X,X,X,X,190.3621203113412,190.0731977123231,1.5675342701315818,1.3511195051727,53305.0453328,12291.214806320677,89.13370479688032,12202.081101523796
7,X,X,X,O,nan,nan,nan,nan,53305.0455782,nan,nan,nan
8,X,X,X,X,189.93196494318997,63.66210610078825,1.4666826619713615,1.6221535846528368,53305.0458052,12299.781077092597,148.33511993825198,12151.445957154345
9,X,X,X,O,nan,nan,nan,nan,53305.0460597,nan,nan,nan
