File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
1,X,X,X,X,130.20538565683137,126.5251194962722,1.7058051476567566,1.4097063473357607,53204.9589689,18112.455957725848,103.65430822869678,18008.801649497153
2,X,X,X,O,nan,nan,nan,nan,53204.9592097,nan,nan,nan
3,X,X,X,X,68.04320730567605,189.83821435143557,1.384365755813065,1.2727521924611203,53204.9594597,18593.48813285832,139.41003390787574,18454.078098950446
4,X,X,X,O,nan,nan,nan,nan,53204.9596819,nan,nan,nan
5,X,X,X,X,193.13645238021158,189.134013889303,1.0749615750088093,1.5987436864156097,53204.9598902,18693.628873660688,136.29051063945997,18557.338363021227
6,X,X,X,O,nan,nan,nan,nan,53204.9601125,nan,nan,nan
7,X,X,X,X,193.02684056768686,63.10908963773795,1.5846419122455324,1.1586545118963707,53204.9603579,18957.188450923102,193.04663190265856,18764.141819020442
8,X,X,X,O,nan,nan,nan,nan,53204.96058,nan,nan,nan
9,X,X,X,X,67.05119368063828,63.48419934914124,1.6980296866211795,1.465966194105491,53204.9608393,18716.524479172338,175.2409462510384,18541.2835329213
10,X,X,X,O,nan,nan,nan,nan,53204.9610569,nan,nan,nan
1,X,X,X,X,130.2433092012593,126.76233913862796,1.4710352279790426,1.345028180116573,53214.7580755,18575.900287929,235.78322743960152,18340.117060489396
2,X,X,X,O,nan,nan,nan,nan,53214.7583161,nan,nan,nan
3,X,X,X,X,67.91028156125648,189.37276486875712,1.7634933345799502,1.606908093354182,53214.7585708,18323.88614824201,278.72402520411646,18045.162123037895
4,X,X,X,O,nan,nan,nan,nan,53214.7587929,nan,nan,nan
5,X,X,X,X,193.18152509656443,189.39485827004444,1.3519088686908722,1.7291940142868798,53214.7590013,18407.424516491814,198.36776393944163,18209.056752552373
6,X,X,X,O,nan,nan,nan,nan,53214.759219,nan,nan,nan
