AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
37651456,2009-07-29T06:30:36.776,NO,--,--,0.4,55041.271259,420.98970530219174,4.725608607122905,1.1224998016829897,0
37808896,2009-08-06T00:01:04.969,NO,--,--,0.4,55049.000752,423.4405735696756,4.192372897330739,0.9900734976783936,0
37815552,2009-08-14T07:52:51.740,NO,--,--,0.4,55057.3283766,423.1781456885263,8.093864373252433,1.912637610357553,0
37817856,2009-08-20T16:31:23.336,NO,--,--,0.4,55063.6884645,420.2736886074743,5.589541732965059,1.3299766044087427,0
37851136,2009-08-26T13:15:20.012,NO,--,--,0.4,55069.552315,422.770421791154,5.3748009922491935,1.2713285308555273,0
37913344,2009-09-10T17:16:30.730,NO,--,--,0.4,55084.7198001,412.9846329254151,5.957857794415534,1.4426342578929616,0
37994240,2009-09-24T08:58:03.592,NO,--,--,0.4,55098.3736527,418.863096509668,2.5769890160561357,0.6152341988420207,0
37994496,2009-10-01T22:52:41.347,NO,--,--,0.4,55105.9532563,416.95823838708174,2.4720641140088926,0.5928805061081346,0
38051840,2009-10-08T08:23:08.168,NO,--,--,0.4,55112.3494001,417.98742974520366,5.896920111712296,1.4107888639873536,0
38067200,2009-10-21T23:26:58.962,NO,--,--,0.4,55125.9770713,419.02385789459106,5.675398087728182,1.3544331619312895,0
38091008,2009-11-06T09:46:02.172,NO,--,--,0.4,55141.4069696,419.2173525594984,4.089301709072928,0.9754609832121739,0
38157056,2009-11-20T01:46:58.513,NO,--,--,0.4,55155.0742883,416.79091304488145,4.8749363860607975,1.1696359573789097,0
38171136,2009-12-04T00:56:07.787,NO,--,--,0.4,55169.038979,411.45446934007987,9.514697987277028,2.3124546447477847,0
38402304,2009-12-18T00:34:42.785,NO,--,--,0.4,55183.0241063,411.4004461887974,10.076613831120415,2.4493444099222286,0
38418432,2009-12-31T11:24:37.549,NO,--,--,0.4,55196.4754346,419.44742879347785,3.680279984358776,0.8774115018287131,0
38686208,2010-01-15T23:30:51.219,NO,--,--,0.4,55211.9797595,359.4702523777071,118.22575494059186,32.8888841729157,0
38705152,2010-01-29T12:33:13.741,NO,--,--,0.4,55225.5230757,415.6295662664378,6.480998222270273,1.559320786653482,0
38817280,2010-02-12T11:19:50.170,NO,--,--,0.4,55239.4721084,416.05516220549424,4.574032402073718,1.0993812401766458,0
38924288,2010-02-26T12:17:01.981,NO,--,--,0.4,55253.5118285,416.1404724312173,4.275293691422951,1.0273679141193368,0
39098624,2010-03-12T16:45:28.774,NO,--,--,0.4,55267.6982497,419.2097236057697,3.0015810388267896,0.7160094028853004,0
39119616,2010-03-26T02:54:28.592,NO,--,--,0.4,55281.1211643,426.3189789093314,16.601330600673972,3.89411014333582,0
39140608,2010-04-09T08:53:25.282,NO,--,--,0.4,55295.3704315,421.03732042567646,9.985067491451858,2.3715397678658916,0
39212032,2010-04-23T03:07:25.268,NO,--,--,0.4,55309.1301536,420.78927021130175,3.7625491715912247,0.8941647133021807,0
39226368,2010-05-07T12:43:56.979,NO,--,--,0.4,55323.5305206,418.0214670264675,5.148214127211666,1.2315669249794057,0
39346176,2010-05-21T01:58:06.835,NO,--,--,0.4,55337.0820236,420.5464842891617,3.415437855919168,0.8121427674498789,0
39363584,2010-06-05T11:07:25.005,NO,--,--,0.4,55352.4634839,418.3477869954766,4.0060887277432515,0.9575976860101252,0
39422976,2010-06-16T22:34:37.981,NO,--,--,0.4,55363.9407174,416.6119879486463,6.246240185582822,1.4992943953290094,0
39448576,2010-07-03T12:31:51.157,NO,--,--,0.4,55380.5221199,417.64465381286374,3.5519706193213225,0.8504767358791268,0
39527680,2010-07-15T22:59:50.962,NO,--,--,0.4,55392.9582287,418.78447366777857,7.062692103155953,1.6864742002729503,0
39545088,2010-07-31T02:21:15.691,NO,--,--,0.4,55408.0980983,416.9728968091689,4.367870620875459,1.0475190724145438,0
40253696,2010-08-12T19:27:50.348,NO,--,--,0.4,55420.8109994,415.6350229612411,3.961254129854431,0.9530607169800094,0
40270080,2010-08-27T05:50:37.434,NO,--,--,0.4,55435.2434888,418.5390876354462,2.969020317720964,0.7093770702503718,0
40314368,2010-09-09T19:00:17.204,NO,--,--,0.4,55448.7918658,416.4023244015076,6.032675297608154,1.448761196585269,0
41011456,2010-09-25T19:15:33.613,NO,--,--,0.4,55464.8024724,415.4214913904856,3.1886933185564517,0.7675802491304335,0
41089792,2010-10-07T18:24:46.932,NO,--,--,0.4,55476.7672099,416.2073889293025,4.3514784673632825,1.045507259868092,0
41167360,2010-10-23T07:28:08.652,NO,--,--,0.4,55492.3112113,420.27011345873024,2.4018808671947824,0.5715088440212495,0
41221120,2010-11-04T20:17:03.534,NO,--,--,0.4,55504.8451798,417.95221468564796,5.591463480425905,1.3378236276679096,0
41242880,2010-11-20T09:02:19.561,NO,--,--,0.4,55520.3766153,417.10944384996156,5.427170728265557,1.30113830033965,0
41395200,2010-12-03T12:13:53.827,NO,--,--,0.4,55533.5096508,417.31264119016686,1.4553526445470786,0.34874396337394514,0
41422592,2010-12-19T00:43:31.787,NO,--,--,0.4,55549.030229,419.2471939848712,4.179979976134129,0.9970203822723657,0
41587712,2011-01-02T14:11:43.041,NO,--,--,30.0,55563.5914704,176.36810989711358,80.62804861966161,45.715775185602965,0
41587968,2011-01-02T14:05:55.452,NO,--,--,12.0,55563.5874474,252.3803796060733,55.07449474094316,21.82201913908915,0
41588224,2011-01-02T14:02:38.862,NO,--,--,6.0,55563.585172,303.61301291346075,40.88882577159161,13.467415437574218,0
41588480,2011-01-02T14:00:09.065,NO,--,--,2.0,55563.5834383,400.7719265926345,10.513462944687337,2.623303242338571,0
41588736,2011-01-02T13:58:19.061,NO,--,--,0.4,55563.5821651,413.5158473201634,3.855384615692815,0.9323426516004343,0
41588736,2011-01-02T13:58:19.061,NO,--,--,0.4,55563.5821651,413.5158473201634,3.855384615692815,0.9323426516004343,0
41588736,2011-01-02T13:58:19.061,NO,--,--,0.4,55563.5821651,413.5158473201634,3.855384615692815,0.9323426516004343,0
41588736,2011-01-02T13:58:19.061,NO,--,--,0.4,55563.5821651,413.5158473201634,3.855384615692815,0.9323426516004343,0
41588736,2011-01-02T13:58:19.061,NO,--,--,0.4,55563.5821651,413.5158473201634,3.855384615692815,0.9323426516004343,0
41588736,2011-01-02T13:58:19.061,NO,--,--,0.4,55563.5821651,413.5158473201634,3.855384615692815,0.9323426516004343,0
41593856,2010-12-31T04:57:10.711,NO,--,--,0.4,55561.206374,418.7739210140488,2.852221863785268,0.6810887021996728,0
41611520,2011-01-18T17:25:27.389,NO,--,--,0.4,55579.7260114,417.3774323666644,4.748748753771684,1.1377588689557916,0
41667328,2011-01-28T05:30:33.191,NO,--,--,0.4,55589.2295508,416.86405715952515,2.4242164522269767,0.5815364530934554,0
41857536,2011-02-13T00:12:51.835,NO,--,--,0.4,55605.0089333,415.40468259385653,4.232011871393572,1.0187684560915828,0
41876736,2011-02-25T03:54:08.396,NO,--,--,0.4,55617.1625972,414.74155877340473,2.011975577033921,0.48511549770520346,0
41919232,2011-03-12T16:54:58.801,NO,--,--,0.4,55632.7048472,416.3608781897926,1.8492851415433436,0.44415439548102104,0
41983488,2011-03-25T12:43:10.286,NO,--,--,0.4,55645.5299802,416.50073308770334,6.034725338188845,1.4489110963744933,0
42001408,2011-04-08T12:03:49.709,NO,--,--,0.4,55659.5026587,416.787335572243,4.502220930815561,1.0802201858254825,0
42029312,2011-04-24T11:31:59.011,NO,--,--,0.4,55675.4805441,415.11658349011566,6.062978073522329,1.4605482687652478,0
42072576,2011-05-20T12:30:59.084,NO,--,--,0.4,55701.5215172,416.8965376143191,4.658179208415752,1.1173465807780694,0
42153472,2011-06-03T11:17:40.669,NO,--,--,0.4,55715.4706096,420.5164351173861,5.7967332534468206,1.3784795954119313,0
42543104,2011-06-17T13:17:00.077,NO,--,--,0.4,55729.5534731,421.2356315697449,3.9934766156789103,0.9480386549440563,0
42589440,2011-07-01T11:57:28.568,NO,--,--,0.4,55743.4982473,417.24117282633745,7.54679013359672,1.80873572051285,0
42764800,2011-07-16T07:47:26.758,NO,--,--,0.4,55758.3246153,419.24426999785953,3.698539457365539,0.8821920112073142,0
43942912,2011-07-29T02:46:01.871,NO,--,--,0.4,55771.1152994,415.88495961785554,1.8555892023025762,0.4461784826283745,0
43982592,2011-08-12T03:29:35.278,NO,--,--,0.4,55785.1455472,416.3733314436082,3.7111411543207025,0.8913013572348168,0
