AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
37651968,2009-07-29T06:26:03.976,NO,--,--,2.0,55041.2681016,25.65410998141237,0.35651673027794295,1.3897060959676886,0
37809408,2009-08-05T23:56:24.364,NO,--,--,2.0,55048.9975042,26.19884559377532,1.7140648168621293,6.5425203974230834,0
37816064,2009-08-14T07:42:27.553,NO,--,--,2.0,55057.3211522,25.30363517147724,0.9379500075559706,3.7067796828387984,0
37818368,2009-08-20T16:16:32.365,NO,--,--,2.0,55063.6781524,25.28280359471899,0.19659470737917245,0.7775827021819552,0
37851648,2009-08-26T13:00:36.423,NO,--,--,2.0,55069.5420882,25.5281870331411,0.3273223539367681,1.2821997641737466,0
37913856,2009-09-10T17:11:49.332,NO,--,--,2.0,55084.7165432,24.600380775134703,0.5217500921051172,2.120902505023361,0
37996800,2009-09-24T08:53:29.194,NO,--,--,2.0,55098.3704768,25.189342282339418,0.45578085379390987,1.8094194309847618,0
37997056,2009-10-01T22:48:09.347,NO,--,--,2.0,55105.9501082,24.164668953829892,2.233553269149342,9.243053457164548,0
38052352,2009-10-08T08:08:22.181,NO,--,--,2.0,55112.3391456,25.33844092489241,0.5182669774035772,2.045378320393948,0
38067712,2009-10-21T23:12:38.170,NO,--,--,2.0,55125.9671085,24.918574978433117,0.10797241663329749,0.43330092802958026,0
38091520,2009-11-06T09:30:56.184,NO,--,--,2.0,55141.3964836,23.469658699186155,2.35050843488612,10.015094232996354,0
38157568,2009-11-20T01:32:14.116,NO,--,--,2.0,55155.0640523,25.2249770022118,0.14943937708128133,0.5924262173486938,0
38171648,2009-12-04T00:41:17.386,NO,--,--,2.0,55169.0286734,25.07939554880632,0.19484989250646553,0.776932171779314,0
38402816,2009-12-18T00:29:58.782,NO,--,--,2.0,55183.0208192,24.92533185931175,0.5432212928621012,2.1793944246289403,0
38418944,2009-12-31T11:10:15.964,NO,--,--,2.0,55196.4654625,25.337281928369787,0.6617067887579692,2.611593424380165,0
38686720,2010-01-15T23:16:27.236,NO,--,--,2.0,55211.9697597,25.432652392382032,0.5819336868983918,2.2881360462139657,0
38705664,2010-01-29T12:18:36.161,NO,--,--,2.0,55225.5129185,24.976388278685402,0.24884842949372796,0.9963347250895066,0
38817792,2010-02-12T11:04:40.987,NO,--,--,2.0,55239.4615855,24.998793571583256,0.4033716244904287,1.6135643639577517,0
38924800,2010-02-26T12:02:23.989,NO,--,--,2.0,55253.5016665,25.123479289361207,0.22199551785248703,0.8836177318262336,0
39099136,2010-03-12T16:30:42.779,NO,--,--,2.0,55267.6879951,25.041775987097132,0.3142136474815795,1.2547578400329082,0
39120128,2010-03-26T02:39:52.199,NO,--,--,2.0,55281.1110208,25.769919352748577,1.5177247781031598,5.889520868606373,0
39141120,2010-04-09T08:39:00.091,NO,--,--,2.0,55295.3604177,25.09754169014248,0.4842964039414171,1.92965673658641,0
39212544,2010-04-23T02:57:21.671,NO,--,--,2.0,55309.1231675,25.196654024977047,0.27268736091449214,1.082236397912919,0
39226880,2010-05-07T12:39:18.182,NO,--,--,2.0,55323.5272938,25.27718094059636,0.5218118312592469,2.064359283123982,0
39346688,2010-05-21T01:43:20.051,NO,--,--,2.0,55337.0717598,25.100100153504577,0.2856621687756381,1.1380917487524558,0
39364096,2010-06-05T10:52:33.432,NO,--,--,2.0,55352.4531647,25.10539597461797,0.39252868049957335,1.563523160106406,0
39423488,2010-06-16T22:20:05.189,NO,--,--,2.0,55363.9306156,25.17648283669312,0.5280680853335925,2.097465673656238,0
39449088,2010-07-03T12:16:53.572,NO,--,--,2.0,55380.5117312,24.964924797645345,0.2281952654020709,0.9140635000975207,0
39528192,2010-07-15T22:45:18.979,NO,--,--,2.0,55392.9481363,25.08364828605105,0.28684927739927396,1.1435708001008373,0
39545600,2010-07-31T02:06:41.290,NO,--,--,2.0,55408.0879779,24.537684776503035,0.8544327679314923,3.482124640991745,0
40254208,2010-08-12T19:13:17.548,NO,--,--,2.0,55420.8008975,24.722976451731224,0.30168215766238854,1.2202501517217734,0
40270592,2010-08-27T05:36:05.040,NO,--,--,2.0,55435.2333917,25.26364304858259,0.4124032121654339,1.632398032905914,0
40314880,2010-09-09T18:45:42.014,NO,--,--,2.0,55448.7817363,24.99808278079227,0.14005355259397287,0.5602571758086405,0
41011968,2010-09-25T19:01:07.235,NO,--,--,2.0,55464.7924448,24.968343229334913,0.4307971442584288,1.7253733669933375,0
41090304,2010-10-07T18:10:22.543,NO,--,--,2.0,55476.7572054,25.049201165477527,0.26830135128103466,1.0710974354375977,0
41167872,2010-10-23T07:13:49.462,NO,--,--,2.0,55492.3012669,25.32905503458166,0.3405149421019777,1.344364965992904,0
41221632,2010-11-04T20:02:25.547,NO,--,--,2.0,55504.8350179,24.98886549926386,0.42504988786440545,1.7009571237915018,0
41243392,2010-11-20T08:47:29.969,NO,--,--,2.0,55520.3663191,24.549446993367418,2.7865279639979925,11.350675087511483,0
41395712,2010-12-03T11:58:55.028,NO,--,--,2.0,55533.499248,25.12593076005739,0.13512392604190726,0.5377867484085936,0
41423104,2010-12-19T00:28:36.202,NO,--,--,2.0,55549.0198635,25.524538535989514,0.4489830668865579,1.7590252072666988,0
41594368,2010-12-31T04:42:28.321,NO,--,--,2.0,55561.1961611,25.082601453803292,0.42560506832849876,1.6968139015100605,0
41612032,2011-01-18T17:06:52.203,NO,--,--,2.0,55579.7131042,24.357675698489366,1.675402906553974,6.878336534622146,0
41667840,2011-01-28T05:15:53.607,NO,--,--,2.0,55589.2193704,24.905109499711045,0.25321807031723104,1.0167314073450227,0
41858048,2011-02-12T23:57:44.648,NO,--,--,2.0,55604.9984334,25.15585760488711,0.3910840698481068,1.5546441548155752,0
41877248,2011-02-25T03:39:21.210,NO,--,--,2.0,55617.1523288,25.03765874354976,0.4036778284683887,1.6122826523162226,0
41919744,2011-03-12T16:40:11.204,NO,--,--,2.0,55632.6945741,24.763939835869614,0.9468709712713235,3.8235877552077446,0
41984000,2011-03-25T12:28:01.506,NO,--,--,2.0,55645.5194619,25.22349571638884,0.3208594663837882,1.2720658151094868,0
42001920,2011-04-08T11:48:58.910,NO,--,--,2.0,55659.4923485,25.30540835796264,0.4700998699195704,1.8577051327118697,0
42029824,2011-04-24T11:17:38.216,NO,--,--,2.0,55675.4705812,23.048833215698092,4.19910540309763,18.218299224959054,0
42073088,2011-05-20T12:16:29.894,NO,--,--,2.0,55701.5114571,25.34285178837886,0.3538060751055586,1.3960783816279068,0
42153984,2011-06-03T11:02:59.080,NO,--,--,2.0,55715.460406,25.14629171805118,0.3960009563728862,1.5747886838066791,0
42543616,2011-06-17T13:01:56.883,NO,--,--,2.0,55729.5430195,25.225640864197203,0.384950808260649,1.5260298453190553,0
42589952,2011-07-01T11:42:48.182,NO,--,--,2.0,55743.4880577,24.86818598293251,0.2641551368155729,1.0622211728546158,0
42765312,2011-07-16T07:33:01.169,NO,--,--,2.0,55758.3145969,25.024685984585055,0.7601327635201421,3.0375316756756745,0
43282432,2012-09-27T09:20:09.832,NO,large,5,2.0,56197.3890027,25.23321874828403,0.44586328532732206,1.7669695244790864,0
43282688,2012-09-24T05:37:05.266,NO,large,5,2.0,56194.2340887,25.271169957110196,0.29429000284460816,1.1645286045089016,0
43282944,2012-09-21T07:03:32.169,NO,large,5,2.0,56191.2941223,25.3457582050935,0.3745383389777847,1.4777160578392847,0
43283200,2012-09-18T18:21:51.865,NO,large,5,2.0,56188.7651836,25.28782527728552,0.2587412892944298,1.0231852144551195,0
43283456,2011-11-23T02:21:25.283,NO,large,5,2.0,55888.0982093,24.374981673836924,1.4690888111018383,6.027035551286983,0
43283712,2012-09-16T05:38:45.810,NO,large,5,2.0,56186.2352524,24.92598335122511,0.2426388244463163,0.9734373205155439,0
43283968,2011-11-20T13:00:30.464,NO,large,5,2.0,55885.5420193,25.065940036831044,0.3510694474006359,1.4005836082141196,0
43284224,2012-09-13T04:35:14.084,NO,large,5,2.0,56183.1911352,24.92818053066592,0.29808839269443116,1.1957888074812821,0
43284480,2011-11-17T14:09:53.640,NO,large,5,2.0,55882.5902042,24.98721312001183,0.5084742128339055,2.03493767148717,0
43284736,2012-09-10T03:30:03.812,NO,large,5,2.0,56180.1458774,25.226370217376672,0.24283947955893317,0.9626413846557208,0
43284992,2011-11-14T17:47:05.973,NO,large,5,2.0,55879.7410414,25.139489507008726,1.047752117707446,4.16775415195022,0
43285248,2011-11-11T20:40:58.462,NO,large,5,2.0,55876.8617878,25.107400151936943,0.3813405659893189,1.5188373295587911,0
43285504,2012-06-11T14:51:58.792,NO,large,5,2.0,56089.6194305,25.12023869336443,0.2796124597013582,1.1130963487827783,0
43285760,2011-11-09T05:55:24.130,NO,large,5,2.0,55874.2468071,24.847813833000885,0.4916807333957563,1.9787685818168244,0
43286016,2012-06-08T04:00:54.088,NO,large,5,2.0,56086.1672927,25.56903369879008,0.21284812731579691,0.8324449403258789,0
43286272,2011-11-06T01:48:34.068,NO,large,5,2.0,55871.0753943,25.068949449752907,0.2818397670078847,1.12425838814184,0
43286528,2012-06-05T11:47:08.845,NO,large,5,2.0,56083.4910746,25.03577278057033,0.2861024852030838,1.1427747316237076,0
43286784,2011-11-03T00:28:05.822,NO,large,5,2.0,55868.0195118,25.019718088241927,0.31076150182067425,1.242066360318893,0
43287040,2012-06-02T17:43:32.102,NO,large,5,2.0,56080.738566,25.314598205919534,0.31535248920411674,1.245733732919273,0
43287296,2011-10-31T06:00:06.451,NO,large,5,2.0,55865.2500747,24.967982631730287,0.4034057192319575,1.6156920852680094,0
43287552,2012-05-31T01:11:18.630,NO,large,5,2.0,56078.0495212,25.233359445933512,0.3349816816736995,1.3275350132884647,0
43287808,2011-10-28T04:10:34.731,NO,large,5,2.0,55862.1740131,24.726255384264288,0.3134693809234911,1.267759214049783,0
43288064,2012-05-28T06:28:59.460,NO,large,5,2.0,56075.2701326,25.132464790790063,0.7637860280928339,3.0390414726562263,0
43288320,2012-05-25T13:57:32.476,NO,large,5,2.0,56072.5816259,25.032904580557037,0.2357697463297965,0.941839352165781,0
43288576,2012-05-23T01:41:13.869,NO,large,5,2.0,56070.0702994,25.114379145698628,0.29773252196421085,1.1855062003999564,0
43288832,2012-05-20T05:08:33.022,NO,large,5,2.0,56067.2142711,25.05048260488229,0.48682773297976784,1.9433866431175502,0
43289088,2012-05-17T12:48:26.734,NO,large,5,2.0,56064.5336428,23.916388181653932,2.307299686937928,9.647358411366808,0
43289344,2012-09-07T11:42:27.849,NO,large,5,2.0,56177.4878223,25.348946897253306,0.19182047727183374,0.7567197093012906,0
43289600,2012-09-04T06:30:48.520,NO,large,5,2.0,56174.2713949,25.05492356724242,0.3985659220461033,1.590768860166074,0
43289856,2012-09-01T09:22:51.148,NO,large,5,2.0,56171.3908698,25.545741652772694,1.6571553144680637,6.487011952883344,0
43290112,2012-08-29T14:46:15.280,NO,large,5,2.0,56168.6154546,25.417229872821416,0.4365420266319922,1.7175043418039257,0
43290368,2012-08-27T00:39:28.492,NO,large,5,2.0,56166.0274131,24.966872980110686,0.3183635901846314,1.2751440296037424,0
43290624,2012-08-23T15:04:30.471,NO,large,5,2.0,56162.6281304,25.438674306486682,0.4527986626062409,1.7799617116477664,0
