File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
1,X,X,X,X,9.570982221553452,17.128952541236128,1.8078225382173108,1.4144358926711627,53819.0930445,375983.81222968077,2996.340417566495,372987.4718121143
2,X,X,X,X,11.587996624240947,23.661553679295622,1.7397296848828814,1.9298007185833277,53819.0931672,366910.69873139483,4504.957396036865,362405.74133535795
3,O,X,X,X,nan,nan,nan,nan,53819.095576,nan,nan,nan
4,X,X,X,X,16.232316694076193,7.904654424973869,1.3455203025276226,1.2043897563642756,53819.0937806,368870.0591585296,6060.9008680306915,362809.15829049895
5,O,X,X,X,nan,nan,nan,nan,53819.0963352,nan,nan,nan
6,O,X,X,X,nan,nan,nan,nan,53819.0989125,nan,nan,nan
7,O,X,X,X,nan,nan,nan,nan,53819.0992808,nan,nan,nan
8,O,X,X,X,nan,nan,nan,nan,53819.0990351,nan,nan,nan
9,O,X,X,X,nan,nan,nan,nan,53819.1018907,nan,nan,nan
10,O,X,X,X,nan,nan,nan,nan,53819.1016451,nan,nan,nan
11,X,X,X,X,12.000346715872485,7.074752332482647,1.560111861358626,1.0313025447768007,53819.0927763,371050.2711908761,6252.928411917691,364797.3427789584
12,X,X,X,X,21.30886862707675,10.538678395944343,1.851552570292287,1.5955827316393578,53819.0936579,370419.64484251215,6588.598144683318,363831.0466978288
13,O,X,X,X,nan,nan,nan,nan,53819.0958447,nan,nan,nan
14,O,X,X,X,nan,nan,nan,nan,53819.0960896,nan,nan,nan
15,O,X,X,X,nan,nan,nan,nan,53819.0986673,nan,nan,nan
16,O,X,X,X,nan,nan,nan,nan,53819.0962124,nan,nan,nan
17,O,X,X,X,nan,nan,nan,nan,53819.0985447,nan,nan,nan
18,O,X,X,X,nan,nan,nan,nan,53819.0994042,nan,nan,nan
19,X,X,X,X,16.22089327457312,22.173417234244187,1.4835982002090466,1.258322581491844,53819.0932899,373946.0581090611,5714.49489120683,368231.56321785424
20,O,X,X,X,nan,nan,nan,nan,53819.101768,nan,nan,nan
21,O,X,X,X,nan,nan,nan,nan,53819.1020136,nan,nan,nan
22,O,X,X,X,nan,nan,nan,nan,53819.0964578,nan,nan,nan
23,O,X,X,X,nan,nan,nan,nan,53819.0959669,nan,nan,nan
24,O,X,X,X,nan,nan,nan,nan,53819.0965804,nan,nan,nan
25,O,X,X,X,nan,nan,nan,nan,53819.1014004,nan,nan,nan
26,O,X,X,X,nan,nan,nan,nan,53819.1015227,nan,nan,nan
27,O,X,X,X,nan,nan,nan,nan,53819.1012546,nan,nan,nan
28,O,X,X,X,nan,nan,nan,nan,53819.102136,nan,nan,nan
29,X,X,O,X,34.5052500265142,14.393178043714009,0.07637350577205036,410.39319761786226,53819.0934128,nan,nan,nan
30,X,X,X,X,9.98641103419444,12.477444424399483,1.4105984547451023,1.8255010004799685,53819.0929227,366162.5041613516,3037.423580424817,363125.0805809268
31,O,X,X,X,nan,nan,nan,nan,53819.0983986,nan,nan,nan
32,X,X,X,X,25.82013484664244,15.906649439412206,1.556255178098432,1.319073139978067,53819.0935362,369549.9991213642,8854.409713007413,360695.5894083568
33,O,X,X,X,nan,nan,nan,nan,53819.0957217,nan,nan,nan
34,O,X,X,X,nan,nan,nan,nan,53819.0991579,nan,nan,nan
35,O,X,X,X,nan,nan,nan,nan,53819.0987909,nan,nan,nan
36,O,X,X,X,nan,nan,nan,nan,53819.1022585,nan,nan,nan
1,X,X,X,X,10.727803495702062,23.51163929780277,1.7669576005934766,1.9046352880417985,53823.6811279,169977.1399551852,546.5424502855975,169430.5975048996
2,X,X,X,X,24.789773945369568,15.802407073237044,1.4167127227177743,1.7152070890197124,53823.6814961,168930.2319957758,1443.4292686521107,167486.8027271237
3,X,X,X,O,nan,nan,nan,nan,53823.6838408,nan,nan,nan
4,O,X,X,X,nan,nan,nan,nan,53823.6866385,nan,nan,nan
5,O,X,X,X,nan,nan,nan,nan,53823.6867619,nan,nan,nan
6,X,X,X,O,nan,nan,nan,nan,53823.6898246,nan,nan,nan
7,O,X,X,X,nan,nan,nan,nan,53823.692135,nan,nan,nan
8,X,X,X,O,nan,nan,nan,nan,53823.6897018,nan,nan,nan
9,O,X,X,X,nan,nan,nan,nan,53823.6925027,nan,nan,nan
10,X,X,X,X,8.8748883111533,12.34869446182877,1.5961496620851179,1.9022984951379733,53823.6808825,170570.06284934536,1010.3071484182764,169559.75570092708
11,X,X,X,X,10.896592091732696,7.037978398802954,1.2775530705765092,1.7232248842566062,53823.6807374,168056.44741590307,1155.3803136038562,166901.06710229922
12,X,X,X,X,15.34187537491096,22.09725496408255,1.418960351206349,2.1940785976033115,53823.6812505,170613.24048792222,1104.630298524647,169508.61018939756
13,X,X,X,X,8.72117991848356,17.080937444813884,1.663071498340888,1.3638806670772081,53823.6810052,171570.8912274934,1228.4633006824101,170342.427926811
14,X,X,X,O,nan,nan,nan,nan,53823.6842094,nan,nan,nan
15,O,X,X,X,nan,nan,nan,nan,53823.6863931,nan,nan,nan
16,O,X,X,X,nan,nan,nan,nan,53823.6870066,nan,nan,nan
17,O,X,X,X,nan,nan,nan,nan,53823.6868836,nan,nan,nan
18,X,X,X,O,nan,nan,nan,nan,53823.6893339,nan,nan,nan
19,O,X,X,X,nan,nan,nan,nan,53823.6922579,nan,nan,nan
20,X,X,X,O,nan,nan,nan,nan,53823.6895797,nan,nan,nan
21,O,X,X,X,nan,nan,nan,nan,53823.6926258,nan,nan,nan
22,O,X,X,X,nan,nan,nan,nan,53823.6918894,nan,nan,nan
23,X,X,X,O,nan,nan,nan,nan,53823.6835957,nan,nan,nan
24,X,X,X,O,nan,nan,nan,nan,53823.6833272,nan,nan,nan
25,X,X,X,O,nan,nan,nan,nan,53823.6837181,nan,nan,nan
26,X,X,X,O,nan,nan,nan,nan,53823.6843316,nan,nan,nan
27,O,X,X,X,nan,nan,nan,nan,53823.6861254,nan,nan,nan
28,O,X,X,X,nan,nan,nan,nan,53823.6862702,nan,nan,nan
29,X,X,X,O,nan,nan,nan,nan,53823.6889439,nan,nan,nan
30,X,X,X,O,nan,nan,nan,nan,53823.6894567,nan,nan,nan
31,X,X,X,O,nan,nan,nan,nan,53823.6890885,nan,nan,nan
32,O,X,X,X,nan,nan,nan,nan,53823.691744,nan,nan,nan
33,O,X,X,X,nan,nan,nan,nan,53823.6923806,nan,nan,nan
34,X,X,X,O,nan,nan,nan,nan,53823.6899472,nan,nan,nan
35,X,X,X,X,20.47838258427072,10.268339866299417,1.7218974292026974,2.2116482008238116,53823.6816186,169076.46859820158,1209.681971636954,167866.78662656463
36,X,X,X,X,20.91676261505094,19.851861005771912,1.9010601651227588,1.398334258933361,53823.6813735,167636.68334438736,1224.2047937908085,166412.47855059654
37,X,X,X,X,15.320145006501933,7.793223920573204,1.5243959137744805,2.38260998998237,53823.6817413,169532.9042106904,1124.0310642314819,168408.87314645894
38,X,X,X,O,nan,nan,nan,nan,53823.683473,nan,nan,nan
39,X,X,X,O,nan,nan,nan,nan,53823.6839635,nan,nan,nan
40,X,X,X,O,nan,nan,nan,nan,53823.6840863,nan,nan,nan
41,O,X,X,X,nan,nan,nan,nan,53823.6871291,nan,nan,nan
42,O,X,X,X,nan,nan,nan,nan,53823.6865158,nan,nan,nan
43,X,X,X,O,nan,nan,nan,nan,53823.6892111,nan,nan,nan
44,O,X,X,X,nan,nan,nan,nan,53823.6920122,nan,nan,nan
45,O,X,X,X,nan,nan,nan,nan,53823.6927484,nan,nan,nan
1,X,X,X,X,10.90216536252145,6.8820954234803375,1.4213069589925633,1.2798901341620692,53822.6008548,60170.83666734128,375.55589756278385,59795.280769778496
2,X,X,X,X,15.176368767367277,7.497296360039298,1.356028182915953,1.7927860762027725,53822.6018596,60880.64712735238,272.7824184294397,60607.86470892294
3,O,X,X,X,nan,nan,nan,nan,53822.6036293,nan,nan,nan
4,X,X,X,X,10.446742789053275,23.20858122077345,1.5711603455979344,1.7779714274439387,53822.6012461,61139.228448339934,60.4598917580624,61078.768556581876
5,O,X,X,X,nan,nan,nan,nan,53822.6046338,nan,nan,nan
6,O,X,X,X,nan,nan,nan,nan,53822.6062623,nan,nan,nan
7,O,X,X,X,nan,nan,nan,nan,53822.6068989,nan,nan,nan
8,O,X,X,X,nan,nan,nan,nan,53822.6066537,nan,nan,nan
9,O,X,X,X,nan,nan,nan,nan,53822.6071442,nan,nan,nan
10,X,X,X,X,21.006039988617648,19.66776610614124,1.3397003294291152,1.5519729818283787,53822.6014915,61290.81426233499,367.6565625667815,60923.15769976821
11,O,X,X,X,nan,nan,nan,nan,53822.6040206,nan,nan,nan
12,O,X,X,X,nan,nan,nan,nan,53822.6045112,nan,nan,nan
