AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%)
37651456,2009-07-29T06:30:36.776,NO,--,--,0.4,55041.271259,627.0128049094474,4.532374967049238,0.722852058452586
37808896,2009-08-06T00:01:04.969,NO,--,--,0.4,55049.000752,626.8374803568829,11.117257670394487,1.7735470546631962
37815552,2009-08-14T07:52:51.740,NO,--,--,0.4,55057.3283766,618.8035704165117,12.100960136417093,1.9555414213709261
37817856,2009-08-20T16:31:23.336,NO,--,--,0.4,55063.6884645,621.0419227265288,13.395910590394736,2.1570058477829246
37851136,2009-08-26T13:15:20.012,NO,--,--,0.4,55069.552315,619.4245995787018,8.247385116675964,1.3314590867533156
37913344,2009-09-10T17:16:30.730,NO,--,--,0.4,55084.7198001,623.6887270870891,3.2537081678144206,0.5216878270368493
37994240,2009-09-24T08:58:03.592,NO,--,--,0.4,55098.3736527,647.439363223318,9.30712926832933,1.437529102647265
37994496,2009-10-01T22:52:41.347,NO,--,--,0.4,55105.9532563,646.5552794270519,4.6813097708320015,0.7240385965110929
38051840,2009-10-08T08:23:08.168,NO,--,--,0.4,55112.3494001,651.8222601229423,7.441481580754487,1.1416427507938935
38067200,2009-10-21T23:26:58.962,NO,--,--,0.4,55125.9770713,660.5566236790185,4.41665245055756,0.6686258667665296
38091008,2009-11-06T09:46:02.172,NO,--,--,0.4,55141.4069696,657.7242862848645,10.029735134611393,1.5249148227844898
38157056,2009-11-20T01:46:58.513,NO,--,--,0.4,55155.0742883,646.4175468677031,6.552347154489794,1.0136400514249668
38171136,2009-12-04T00:56:07.787,NO,--,--,0.4,55169.038979,662.1311578575868,5.157124368740262,0.7788674958941401
38402304,2009-12-18T00:34:42.785,NO,--,--,0.4,55183.0241063,649.4153616837887,7.532978854073252,1.1599631450882104
38418432,2009-12-31T11:24:37.549,NO,--,--,0.4,55196.4754346,651.7018476416973,9.135821234621089,1.4018406220084743
38686208,2010-01-15T23:30:51.219,NO,--,--,0.4,55211.9797595,656.4604159809398,8.882370407807944,1.3530702219927668
38705152,2010-01-29T12:33:13.741,NO,--,--,0.4,55225.5230757,658.0446189633097,8.512142575567825,1.2935509736373108
38817280,2010-02-12T11:19:50.170,NO,--,--,0.4,55239.4721084,657.7330702366929,10.550120279558358,1.6040124416675257
38924288,2010-02-26T12:17:01.981,NO,--,--,0.4,55253.5118285,656.0205827683433,7.056409763587332,1.0756384706421813
39098624,2010-03-12T16:45:28.774,NO,--,--,0.4,55267.6982497,650.7956512915118,5.0150643559884855,0.7706050810321228
39119616,2010-03-26T02:54:28.592,NO,--,--,0.4,55281.1211643,648.6389276433747,6.384431548307376,0.9842812813444911
