AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
40398848,"307.3952716,  62.9940615",2010-09-20T03:55:19.461,WARM,SUB,NO,medium,4,0.02,55459.1634197,9368.417654784796,90.56780751804317,0.9667353746957134,0
40399104,"133.71335107, -63.701941",2011-04-15T23:42:53.361,WARM,SUB,NO,medium,4,0.1,55666.9881176,373.95740835640373,11.496990047143232,3.074411628231714,0
40399872,"67.64013772,  16.1940172",2010-10-27T07:44:18.960,WARM,SUB,NO,medium,4,0.02,55496.3224417,5133.05413359382,64.99313034234393,1.266168808097882,0
40400128,"326.34127334, -12.783352",2010-12-22T17:03:56.474,WARM,SUB,NO,medium,4,0.02,55552.7110703,1713.4934914391797,29.321039993471764,1.711184789435339,0
40400384,"97.45443558, -50.2390786",2010-12-14T14:36:53.883,WARM,SUB,NO,medium,4,0.02,55544.608957,5882.9326194562655,65.1126750611094,1.1068064054612186,0
40402176,"124.11029596, -3.2260891",2010-12-15T13:40:25.619,WARM,SUB,NO,medium,4,0.02,55545.569741,1432.6589235329434,25.359965150341655,1.7701327743664113,0
40402432,"305.29542611, -51.791085",2010-11-26T15:12:45.218,WARM,SUB,NO,medium,4,0.02,55526.6338567,911.8221994873118,24.897304372738372,2.730499913989517,0
40402688,"223.22275541,  32.690908",2011-04-16T21:54:47.093,WARM,SUB,NO,medium,4,0.02,55667.9130451,1538.8389435584436,27.009311454246966,1.7551746768112109,0
40403200,"139.32193783, -68.689633",2011-04-18T23:21:38.710,WARM,SUB,NO,medium,4,0.02,55669.9733647,5360.362571200466,37.205856625298324,0.6940921650560287,0
40403456,"20.49630509,  76.7102881",2010-10-03T23:12:10.149,WARM,SUB,NO,medium,4,0.02,55472.9667841,2598.0483173852226,44.36523751514521,1.7076371219991826,0
40404224,"16.60897209, -14.2964183",2010-09-19T04:16:59.746,WARM,SUB,NO,medium,4,0.1,55458.1784693,402.71723412024454,15.875145191332726,3.942007901899892,0
40405248,"81.11869699, -16.9757747",2010-11-11T08:13:15.983,WARM,SUB,NO,medium,4,0.02,55511.3425461,1613.511619323456,47.807966819012144,2.9629762963255253,0
40405504,"39.949856, -42.89176772",2010-10-08T08:25:06.010,WARM,SUB,NO,medium,4,0.02,55477.350764,4800.972995442821,101.96763064686454,2.1238951092550247,0
