File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
11,X,X,X,X,X,89.04193994697559,153.85215511979638,1.4259091031213527,2.0927797091987803,53858.4180463,2.0346640190210055,0.19003633670489462,1.8446276823161107
12,X,X,X,O,O,nan,nan,nan,nan,53858.4201064,nan,nan,nan
13,X,X,X,O,O,nan,nan,nan,nan,53858.4220971,nan,nan,nan
14,X,X,X,O,O,nan,nan,nan,nan,53858.4226341,nan,nan,nan
15,X,X,X,O,O,nan,nan,nan,nan,53858.4246529,nan,nan,nan
16,X,X,X,O,O,nan,nan,nan,nan,53858.4266991,nan,nan,nan
17,X,X,X,O,O,nan,nan,nan,nan,53858.4271946,nan,nan,nan
18,X,X,X,O,O,nan,nan,nan,nan,53858.4281759,nan,nan,nan
19,X,X,X,O,O,nan,nan,nan,nan,53858.4287128,nan,nan,nan
20,X,X,X,O,O,nan,nan,nan,nan,53858.4277267,nan,nan,nan
21,X,X,X,O,O,nan,nan,nan,nan,53858.4292127,nan,nan,nan
22,X,X,X,O,O,nan,nan,nan,nan,53858.4312361,nan,nan,nan
23,X,X,X,O,O,nan,nan,nan,nan,53858.432213,nan,nan,nan
24,X,X,X,O,O,nan,nan,nan,nan,53858.4332268,nan,nan,nan
25,X,X,X,O,O,nan,nan,nan,nan,53858.4342822,nan,nan,nan
26,X,X,X,O,O,nan,nan,nan,nan,53858.4342454,nan,nan,nan
27,X,X,X,O,O,nan,nan,nan,nan,53858.4353333,nan,nan,nan
28,X,X,X,O,O,nan,nan,nan,nan,53858.4337315,nan,nan,nan
29,X,X,X,O,O,nan,nan,nan,nan,53858.4374812,nan,nan,nan
30,X,X,X,O,O,nan,nan,nan,nan,53858.438435,nan,nan,nan
31,X,X,X,O,O,nan,nan,nan,nan,53858.4410045,nan,nan,nan
32,X,X,X,O,O,nan,nan,nan,nan,53858.4415367,nan,nan,nan
33,X,X,X,O,O,nan,nan,nan,nan,53858.4420181,nan,nan,nan
34,X,X,X,O,O,nan,nan,nan,nan,53858.4440923,nan,nan,nan
35,X,X,X,O,O,nan,nan,nan,nan,53858.4425321,nan,nan,nan
36,X,X,X,O,O,nan,nan,nan,nan,53858.4450782,nan,nan,nan
37,X,X,X,O,O,nan,nan,nan,nan,53858.4445415,nan,nan,nan
38,X,X,X,O,O,nan,nan,nan,nan,53858.4460736,nan,nan,nan
39,X,X,X,O,O,nan,nan,nan,nan,53858.4465645,nan,nan,nan
40,X,X,X,O,O,nan,nan,nan,nan,53858.4485736,nan,nan,nan
41,X,X,X,O,O,nan,nan,nan,nan,53858.4470922,nan,nan,nan
42,X,X,X,O,O,nan,nan,nan,nan,53858.4490368,nan,nan,nan
43,X,X,X,O,O,nan,nan,nan,nan,53858.4506015,nan,nan,nan
44,X,X,X,O,O,nan,nan,nan,nan,53858.4495645,nan,nan,nan
45,X,X,X,O,O,nan,nan,nan,nan,53858.4500692,nan,nan,nan
46,X,X,X,O,O,nan,nan,nan,nan,53858.455268,nan,nan,nan
47,X,X,X,O,O,nan,nan,nan,nan,53858.4531386,nan,nan,nan
48,X,X,X,O,O,nan,nan,nan,nan,53858.4526247,nan,nan,nan
49,X,X,X,O,O,nan,nan,nan,nan,53858.4557541,nan,nan,nan
50,X,X,X,O,O,nan,nan,nan,nan,53858.4577219,nan,nan,nan
51,X,X,X,O,O,nan,nan,nan,nan,53858.4562079,nan,nan,nan
52,X,X,X,O,O,nan,nan,nan,nan,53858.4582633,nan,nan,nan
53,X,X,X,O,O,nan,nan,nan,nan,53858.4587449,nan,nan,nan
54,X,X,X,O,O,nan,nan,nan,nan,53858.4107778,nan,nan,nan
55,X,X,X,O,O,nan,nan,nan,nan,53858.4127966,nan,nan,nan
56,X,X,X,X,X,85.01442286434165,200.50377454585953,0.23463363218755662,3.29707115049748,53858.4153937,6.258663801255764,2.0484752027395916,4.210188598516172
57,X,X,X,O,O,nan,nan,nan,nan,53858.4123242,nan,nan,nan
58,X,X,X,O,O,nan,nan,nan,nan,53858.4133426,nan,nan,nan
59,X,X,X,O,O,nan,nan,nan,nan,53858.4170139,nan,nan,nan
60,X,X,X,X,X,104.05423705952101,224.86108664760332,1.3190729764097746,2.2171122309135787,53858.4175324,2.3046338577573824,0.4226452675734239,1.8819885901839584
61,X,X,O,X,X,94.55086254448175,156.11341106979683,2.7680776601369656e-38,7.494917084578137,53858.4180094,nan,nan,nan
62,X,X,X,O,O,nan,nan,nan,nan,53858.4186111,nan,nan,nan
63,X,X,X,O,O,nan,nan,nan,nan,53858.4196157,nan,nan,nan
64,X,X,X,O,O,nan,nan,nan,nan,53858.4215649,nan,nan,nan
65,X,X,X,O,O,nan,nan,nan,nan,53858.4211064,nan,nan,nan
66,X,X,X,O,O,nan,nan,nan,nan,53858.4231065,nan,nan,nan
67,X,X,X,O,O,nan,nan,nan,nan,53858.4231388,nan,nan,nan
68,X,X,X,O,O,nan,nan,nan,nan,53858.4241804,nan,nan,nan
69,X,X,X,O,O,nan,nan,nan,nan,53858.424685,nan,nan,nan
70,X,X,X,O,O,nan,nan,nan,nan,53858.4276899,nan,nan,nan
71,X,X,X,O,O,nan,nan,nan,nan,53858.4261528,nan,nan,nan
72,X,X,X,O,O,nan,nan,nan,nan,53858.426736,nan,nan,nan
73,X,X,X,O,O,nan,nan,nan,nan,53858.4307454,nan,nan,nan
74,X,X,X,O,O,nan,nan,nan,nan,53858.4307823,nan,nan,nan
75,X,X,X,O,O,nan,nan,nan,nan,53858.4332591,nan,nan,nan
76,X,X,X,O,O,nan,nan,nan,nan,53858.4347963,nan,nan,nan
77,X,X,X,O,O,nan,nan,nan,nan,53858.4327497,nan,nan,nan
78,X,X,X,O,O,nan,nan,nan,nan,53858.4358611,nan,nan,nan
79,X,X,X,O,O,nan,nan,nan,nan,53858.4364303,nan,nan,nan
80,X,X,X,O,O,nan,nan,nan,nan,53858.438986,nan,nan,nan
81,X,X,X,O,O,nan,nan,nan,nan,53858.4405184,nan,nan,nan
82,X,X,X,O,O,nan,nan,nan,nan,53858.4322498,nan,nan,nan
83,X,X,X,O,O,nan,nan,nan,nan,53858.4405553,nan,nan,nan
84,X,X,X,O,O,nan,nan,nan,nan,53858.4410413,nan,nan,nan
85,X,X,X,O,O,nan,nan,nan,nan,53858.4414999,nan,nan,nan
86,X,X,X,O,O,nan,nan,nan,nan,53858.4424999,nan,nan,nan
87,X,X,X,O,O,nan,nan,nan,nan,53858.4419767,nan,nan,nan
88,X,X,X,O,O,nan,nan,nan,nan,53858.4435923,nan,nan,nan
89,X,X,X,O,O,nan,nan,nan,nan,53858.4450414,nan,nan,nan
90,X,X,X,O,O,nan,nan,nan,nan,53858.4455829,nan,nan,nan
91,X,X,X,O,O,nan,nan,nan,nan,53858.4475829,nan,nan,nan
92,X,X,X,O,O,nan,nan,nan,nan,53858.4480737,nan,nan,nan
93,X,X,X,O,O,nan,nan,nan,nan,53858.4475461,nan,nan,nan
94,X,X,X,O,O,nan,nan,nan,nan,53858.4496013,nan,nan,nan
95,X,X,X,O,O,nan,nan,nan,nan,53858.4511292,nan,nan,nan
96,X,X,X,O,O,nan,nan,nan,nan,53858.4510971,nan,nan,nan
97,X,X,X,O,O,nan,nan,nan,nan,53858.451597,nan,nan,nan
98,X,X,X,O,O,nan,nan,nan,nan,53858.4516292,nan,nan,nan
99,X,X,X,O,O,nan,nan,nan,nan,53858.4526615,nan,nan,nan
100,X,X,X,O,O,nan,nan,nan,nan,53858.4546939,nan,nan,nan
101,X,X,X,O,O,nan,nan,nan,nan,53858.4541247,nan,nan,nan
102,X,X,X,O,O,nan,nan,nan,nan,53858.4562447,nan,nan,nan
103,X,X,X,O,O,nan,nan,nan,nan,53858.4572448,nan,nan,nan
104,X,X,X,O,O,nan,nan,nan,nan,53858.4566848,nan,nan,nan
105,X,X,X,O,O,nan,nan,nan,nan,53858.4587864,nan,nan,nan
106,X,X,X,O,O,nan,nan,nan,nan,53858.4557172,nan,nan,nan
107,X,X,X,O,O,nan,nan,nan,nan,53858.4102135,nan,nan,nan
108,X,X,X,O,O,nan,nan,nan,nan,53858.4133058,nan,nan,nan
109,X,X,O,X,X,106.35406045898283,174.333398881991,2.7680776601369656e-38,0.9276034459393648,53858.4143613,nan,nan,nan
110,X,X,X,X,X,84.92320707233479,200.95534279666697,1.60592825503223,1.9447121831316863,53858.4154305,2.591759758240082,0.25538459072006026,2.3363751675200217
111,X,X,X,O,O,nan,nan,nan,nan,53858.4169817,nan,nan,nan
112,X,X,X,X,O,144.6130167310885,317.4728765939348,0.6379348829365358,45.69119766383392,53858.4175002,nan,nan,nan
113,X,X,X,O,O,nan,nan,nan,nan,53858.4185743,nan,nan,nan
114,X,X,X,O,O,nan,nan,nan,nan,53858.4200742,nan,nan,nan
115,X,X,X,O,O,nan,nan,nan,nan,53858.4205741,nan,nan,nan
116,X,X,X,O,O,nan,nan,nan,nan,53858.4220603,nan,nan,nan
117,X,X,X,O,O,nan,nan,nan,nan,53858.4236297,nan,nan,nan
118,X,X,X,O,O,nan,nan,nan,nan,53858.4241436,nan,nan,nan
119,X,X,X,O,O,nan,nan,nan,nan,53858.4215972,nan,nan,nan
120,X,X,X,O,O,nan,nan,nan,nan,53858.4256574,nan,nan,nan
121,X,X,X,O,O,nan,nan,nan,nan,53858.4272314,nan,nan,nan
122,X,X,X,O,O,nan,nan,nan,nan,53858.4282081,nan,nan,nan
123,X,X,X,O,O,nan,nan,nan,nan,53858.4291759,nan,nan,nan
124,X,X,X,O,O,nan,nan,nan,nan,53858.426185,nan,nan,nan
125,X,X,X,O,O,nan,nan,nan,nan,53858.430199,nan,nan,nan
126,X,X,X,O,O,nan,nan,nan,nan,53858.428676,nan,nan,nan
127,X,X,X,O,O,nan,nan,nan,nan,53858.430236,nan,nan,nan
128,X,X,X,O,O,nan,nan,nan,nan,53858.4312683,nan,nan,nan
129,X,X,X,O,O,nan,nan,nan,nan,53858.4374443,nan,nan,nan
130,X,X,X,O,O,nan,nan,nan,nan,53858.4358979,nan,nan,nan
131,X,X,X,O,O,nan,nan,nan,nan,53858.4394952,nan,nan,nan
132,X,X,X,O,O,nan,nan,nan,nan,53858.4400367,nan,nan,nan
133,X,X,X,O,O,nan,nan,nan,nan,53858.4379397,nan,nan,nan
134,X,X,X,O,O,nan,nan,nan,nan,53858.4399998,nan,nan,nan
135,X,X,X,O,O,nan,nan,nan,nan,53858.4390228,nan,nan,nan
136,X,X,X,O,O,nan,nan,nan,nan,53858.4379765,nan,nan,nan
137,X,X,X,O,O,nan,nan,nan,nan,53858.4430969,nan,nan,nan
138,X,X,X,O,O,nan,nan,nan,nan,53858.4445783,nan,nan,nan
139,X,X,X,O,O,nan,nan,nan,nan,53858.44406,nan,nan,nan
140,X,X,X,O,O,nan,nan,nan,nan,53858.4465276,nan,nan,nan
141,X,X,X,O,O,nan,nan,nan,nan,53858.4485368,nan,nan,nan
142,X,X,X,O,O,nan,nan,nan,nan,53858.449069,nan,nan,nan
143,X,X,X,O,O,nan,nan,nan,nan,53858.4480369,nan,nan,nan
144,X,X,X,O,O,nan,nan,nan,nan,53858.4521523,nan,nan,nan
145,X,X,X,O,O,nan,nan,nan,nan,53858.4531708,nan,nan,nan
146,X,X,X,O,O,nan,nan,nan,nan,53858.4546616,nan,nan,nan
147,X,X,X,O,O,nan,nan,nan,nan,53858.457208,nan,nan,nan
