AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%)
11638016,2004-07-18T23:03:55.314,NO,--,--,0.4,53204.9610569,643.6235585724746,4.084772821254835,0.6346524714407067
11638272,2004-07-28T18:14:38.110,NO,--,--,0.4,53214.7601633,644.9185829333476,3.8657092396431225,0.5994104282218587
11679488,2004-06-18T02:13:15.601,NO,--,--,0.4,53174.0925417,635.8971439206064,6.677113065806656,1.0500303594130174
11849216,2004-08-11T22:23:16.762,NO,--,--,0.4,53228.9328329,640.9975738287854,5.827258162960607,0.909092077861297
11849984,2004-08-18T18:55:44.158,NO,--,--,0.4,53235.7887055,643.9452957452584,5.285568756274169,0.8208102134137051
11948800,2004-09-02T10:58:49.709,NO,--,--,0.4,53250.4575198,639.5776812948236,4.061620691147231,0.6350472835331727
11949056,2004-09-13T17:30:22.601,NO,--,--,0.4,53261.7294283,643.3533927495448,4.1022899550047764,0.6376417690862762
12164864,2004-10-04T21:23:04.007,NO,--,--,0.4,53282.8910186,640.5258356729746,3.337882635930145,0.5211160034510032
12165120,2004-10-12T04:20:54.380,NO,--,--,0.4,53290.181185,642.8612411062271,5.68591788005942,0.8844704761287471
12272640,2004-10-27T01:06:39.163,NO,--,--,0.4,53305.0462866,641.9226609452699,7.7671023555159975,1.2099747879407265
12272896,2004-11-01T13:38:42.633,NO,--,--,0.4,53310.568549,641.322200756118,2.927969037564974,0.45655195377813246
12829952,2004-11-17T18:18:31.515,NO,--,--,0.4,53326.7628648,641.9017577112087,4.134919408597601,0.6441670176042577
12846848,2004-11-28T17:46:00.016,NO,--,--,0.4,53337.740278,636.0564300104949,1.25858358317158,0.1978729439384511
12965632,2004-12-14T20:26:34.292,NO,--,--,0.4,53353.8517858,639.5251482840906,2.466522640817037,0.38568032038067024
12965888,2004-12-21T17:48:35.713,NO,--,--,0.4,53360.74208,641.4657605713162,5.279455536125777,0.8230299823678311
13096448,2005-01-15T21:33:22.878,NO,--,--,0.4,53385.8981815,638.7032584645706,4.214168209735645,0.6598006435518143
13096704,2005-01-22T17:35:47.867,NO,--,--,0.4,53392.7331929,637.1544185924222,3.1063600341619013,0.48753645011586927
13221120,2005-02-18T22:01:06.458,NO,--,--,0.4,53419.9174359,640.1699362304996,4.834308342555978,0.7551601643497574
13221376,2005-02-25T16:20:56.471,NO,--,--,0.4,53426.6812092,638.5308378081667,6.085444357665363,0.9530384434609889
13395968,2005-03-24T19:30:30.003,NO,--,--,0.4,53453.8128473,639.25626824196,1.680896062781097,0.26294557383125633
13396224,2005-03-31T05:52:22.739,NO,--,--,0.4,53460.2447076,639.1824677996233,6.911308762829602,1.0812732061662589
13538816,2005-05-06T01:47:15.477,NO,--,--,0.4,53496.0744847,639.9861890867297,4.840014722769827,0.7562686203707932
13539328,2005-05-10T17:25:58.861,NO,--,--,0.4,53500.7263757,640.1193247123778,4.208747491770073,0.6574942091712623
15259392,2005-06-10T02:10:16.631,NO,--,--,0.4,53531.0904703,643.6928271919376,4.318593676966016,0.6709090880825194
