File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
1,X,X,X,O,X,nan,nan,nan,nan,53858.411241,nan,nan,nan
2,X,X,X,O,X,nan,nan,nan,nan,53858.4148752,nan,nan,nan
3,X,X,X,O,X,nan,nan,nan,nan,53858.4153937,nan,nan,nan
4,X,X,X,O,X,nan,nan,nan,nan,53858.4169817,nan,nan,nan
5,X,X,X,O,X,nan,nan,nan,nan,53858.4175002,nan,nan,nan
6,X,X,X,O,X,nan,nan,nan,nan,53858.4191203,nan,nan,nan
7,X,X,X,O,X,nan,nan,nan,nan,53858.4206063,nan,nan,nan
8,X,X,X,O,X,nan,nan,nan,nan,53858.4220971,nan,nan,nan
9,X,X,X,O,X,nan,nan,nan,nan,53858.4200742,nan,nan,nan
10,X,X,X,O,X,nan,nan,nan,nan,53858.4231065,nan,nan,nan
11,X,X,X,O,X,nan,nan,nan,nan,53858.4236297,nan,nan,nan
12,X,X,X,O,X,nan,nan,nan,nan,53858.426736,nan,nan,nan
13,X,X,X,O,X,nan,nan,nan,nan,53858.4276899,nan,nan,nan
14,X,X,X,O,X,nan,nan,nan,nan,53858.4307823,nan,nan,nan
15,X,X,X,O,X,nan,nan,nan,nan,53858.4307454,nan,nan,nan
16,X,X,X,O,X,nan,nan,nan,nan,53858.4327175,nan,nan,nan
17,X,X,X,O,X,nan,nan,nan,nan,53858.4332591,nan,nan,nan
18,X,X,X,O,X,nan,nan,nan,nan,53858.4337683,nan,nan,nan
19,X,X,X,X,O,70.48433389313023,-7.528249874206523,165.98752864596185,0.9160913641017749,53858.4347963,nan,nan,nan
20,X,X,X,O,X,nan,nan,nan,nan,53858.4353333,nan,nan,nan
21,X,X,X,X,O,235.70185772193165,19.051237838788524,11.197226399163313,1.293786332737872,53858.4358979,nan,nan,nan
22,X,X,X,O,X,nan,nan,nan,nan,53858.4374443,nan,nan,nan
23,X,X,X,O,X,nan,nan,nan,nan,53858.4379397,nan,nan,nan
24,X,X,X,O,X,nan,nan,nan,nan,53858.438435,nan,nan,nan
25,X,X,X,X,O,44.9031753377499,12.203767674654662,1.2485936082956455,12.03079269862968,53858.438986,nan,nan,nan
26,X,X,X,O,X,nan,nan,nan,nan,53858.4394952,nan,nan,nan
27,X,X,X,O,X,nan,nan,nan,nan,53858.4410045,nan,nan,nan
28,X,X,X,O,X,nan,nan,nan,nan,53858.4405553,nan,nan,nan
29,X,X,X,O,X,nan,nan,nan,nan,53858.4424999,nan,nan,nan
30,X,X,X,O,X,nan,nan,nan,nan,53858.4410413,nan,nan,nan
31,X,X,X,X,O,68.8872446725092,238.89682187430935,2.7680776601369656e-38,2.0830678116981476,53858.4435553,nan,nan,nan
32,X,X,O,X,X,33.08591965637932,235.03312094611968,10.75367474003117,0.31880703978696234,53858.4445783,nan,nan,nan
33,X,X,X,X,X,88.50960228031431,219.82648038757307,1.4781945068123834,2.0836836616862904,53858.4460736,4.1627534488466935,10.426094647460092,-6.263341198613398
34,X,X,X,O,X,nan,nan,nan,nan,53858.4470922,nan,nan,nan
35,X,X,X,O,X,nan,nan,nan,nan,53858.455268,nan,nan,nan
36,X,X,O,X,X,221.64526071958232,233.68369114817756,45.1463456683845,10.328754847114858,53858.4475461,nan,nan,nan
37,X,X,X,O,X,nan,nan,nan,nan,53858.4546939,nan,nan,nan
