File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
38,X,X,X,X,X,235.19136092339127,233.44074436698736,1.9335672103627124,1.4762935487275801,53858.4475829,12.002069725278469,19.27478758493832,-7.272717859659851
39,X,X,X,O,X,nan,nan,nan,nan,53858.449069,nan,nan,nan
40,X,X,X,O,X,nan,nan,nan,nan,53858.4500692,nan,nan,nan
41,X,X,X,O,X,nan,nan,nan,nan,53858.4511292,nan,nan,nan
42,X,X,X,O,X,nan,nan,nan,nan,53858.4526247,nan,nan,nan
43,X,X,X,O,X,nan,nan,nan,nan,53858.4510971,nan,nan,nan
44,X,X,X,O,X,nan,nan,nan,nan,53858.4102549,nan,nan,nan
45,X,X,X,O,X,nan,nan,nan,nan,53858.4102135,nan,nan,nan
46,X,X,X,O,X,nan,nan,nan,nan,53858.4122873,nan,nan,nan
47,X,X,X,O,X,nan,nan,nan,nan,53858.4138104,nan,nan,nan
48,X,X,X,O,X,nan,nan,nan,nan,53858.414912,nan,nan,nan
49,X,X,X,O,X,nan,nan,nan,nan,53858.4170139,nan,nan,nan
50,X,X,X,O,X,nan,nan,nan,nan,53858.4185743,nan,nan,nan
51,X,X,X,O,X,nan,nan,nan,nan,53858.4190835,nan,nan,nan
52,X,X,X,O,X,nan,nan,nan,nan,53858.4220603,nan,nan,nan
53,X,X,X,O,X,nan,nan,nan,nan,53858.4211064,nan,nan,nan
54,X,X,X,O,X,nan,nan,nan,nan,53858.4215972,nan,nan,nan
55,X,X,X,O,X,nan,nan,nan,nan,53858.4231388,nan,nan,nan
56,X,X,X,O,X,nan,nan,nan,nan,53858.4236666,nan,nan,nan
57,X,X,X,O,X,nan,nan,nan,nan,53858.4246529,nan,nan,nan
58,X,X,X,O,X,nan,nan,nan,nan,53858.4241804,nan,nan,nan
59,X,X,X,O,X,nan,nan,nan,nan,53858.4256574,nan,nan,nan
60,X,X,X,O,X,nan,nan,nan,nan,53858.4266991,nan,nan,nan
61,X,X,X,O,X,nan,nan,nan,nan,53858.4272314,nan,nan,nan
62,X,X,X,O,X,nan,nan,nan,nan,53858.428676,nan,nan,nan
63,X,X,X,O,X,nan,nan,nan,nan,53858.4287128,nan,nan,nan
64,X,X,X,O,X,nan,nan,nan,nan,53858.4296945,nan,nan,nan
65,X,X,X,O,X,nan,nan,nan,nan,53858.4291759,nan,nan,nan
66,X,X,X,O,X,nan,nan,nan,nan,53858.430236,nan,nan,nan
67,X,X,X,O,X,nan,nan,nan,nan,53858.4312683,nan,nan,nan
68,X,X,X,O,X,nan,nan,nan,nan,53858.432213,nan,nan,nan
69,X,X,X,O,X,nan,nan,nan,nan,53858.4363981,nan,nan,nan
70,X,X,X,O,X,nan,nan,nan,nan,53858.4374812,nan,nan,nan
71,X,X,X,O,X,nan,nan,nan,nan,53858.4587864,nan,nan,nan
72,X,X,X,O,X,nan,nan,nan,nan,53858.4369627,nan,nan,nan
73,X,X,X,O,X,nan,nan,nan,nan,53858.4577588,nan,nan,nan
74,X,X,X,O,X,nan,nan,nan,nan,53858.4395322,nan,nan,nan
75,X,X,X,O,X,nan,nan,nan,nan,53858.4414999,nan,nan,nan
76,X,X,X,O,X,nan,nan,nan,nan,53858.4567264,nan,nan,nan
77,X,X,X,O,X,nan,nan,nan,nan,53858.4425321,nan,nan,nan
78,X,X,X,O,X,nan,nan,nan,nan,53858.4415367,nan,nan,nan
79,X,X,X,O,X,nan,nan,nan,nan,53858.44306,nan,nan,nan
80,X,X,O,X,X,41.44948783031643,226.8475107163608,11.994866242960569,5.25092708872707,53858.4445415,nan,nan,nan
81,X,X,X,X,O,526.3765605860748,514.9192228516708,488.6940778859448,1.3502980093857675,53858.44406,nan,nan,nan
82,X,X,X,O,X,nan,nan,nan,nan,53858.4470553,nan,nan,nan
83,X,X,X,O,X,nan,nan,nan,nan,53858.4557172,nan,nan,nan
84,X,X,X,O,X,nan,nan,nan,nan,53858.4480737,nan,nan,nan
85,X,X,X,O,X,nan,nan,nan,nan,53858.4480369,nan,nan,nan
86,X,X,X,O,X,nan,nan,nan,nan,53858.4541616,nan,nan,nan
87,X,X,X,X,O,237.19452460691568,216.46847469502413,2.5127619179165817,9.179473784423969,53858.4495645,nan,nan,nan
88,X,X,X,O,X,nan,nan,nan,nan,53858.4505645,nan,nan,nan
89,X,X,X,O,X,nan,nan,nan,nan,53858.4501015,nan,nan,nan
90,X,X,X,O,X,nan,nan,nan,nan,53858.4521201,nan,nan,nan
91,X,X,X,O,X,nan,nan,nan,nan,53858.4531708,nan,nan,nan
92,X,X,X,O,X,nan,nan,nan,nan,53858.4521523,nan,nan,nan
93,X,X,X,O,X,nan,nan,nan,nan,53858.410741,nan,nan,nan
94,X,X,X,O,X,nan,nan,nan,nan,53858.4107778,nan,nan,nan
95,X,X,X,O,X,nan,nan,nan,nan,53858.4127966,nan,nan,nan
96,X,X,X,O,X,nan,nan,nan,nan,53858.4123242,nan,nan,nan
97,X,X,X,O,X,nan,nan,nan,nan,53858.4138472,nan,nan,nan
98,X,X,X,O,X,nan,nan,nan,nan,53858.4143613,nan,nan,nan
99,X,X,X,O,X,nan,nan,nan,nan,53858.4159491,nan,nan,nan
100,X,X,X,O,X,nan,nan,nan,nan,53858.4164446,nan,nan,nan
101,X,X,X,O,X,nan,nan,nan,nan,53858.4154305,nan,nan,nan
102,X,X,X,O,X,nan,nan,nan,nan,53858.4180463,nan,nan,nan
103,X,X,X,O,X,nan,nan,nan,nan,53858.4186111,nan,nan,nan
104,X,X,X,O,X,nan,nan,nan,nan,53858.4210649,nan,nan,nan
105,X,X,X,O,X,nan,nan,nan,nan,53858.4226341,nan,nan,nan
106,X,X,X,O,X,nan,nan,nan,nan,53858.4205741,nan,nan,nan
107,X,X,X,O,X,nan,nan,nan,nan,53858.4215649,nan,nan,nan
108,X,X,X,O,X,nan,nan,nan,nan,53858.4226018,nan,nan,nan
109,X,X,X,O,X,nan,nan,nan,nan,53858.424685,nan,nan,nan
110,X,X,X,O,X,nan,nan,nan,nan,53858.4256942,nan,nan,nan
111,X,X,X,O,X,nan,nan,nan,nan,53858.4261528,nan,nan,nan
112,X,X,X,O,X,nan,nan,nan,nan,53858.4271946,nan,nan,nan
113,X,X,X,O,X,nan,nan,nan,nan,53858.4281759,nan,nan,nan
114,X,X,X,O,X,nan,nan,nan,nan,53858.4282081,nan,nan,nan
115,X,X,X,O,X,nan,nan,nan,nan,53858.430199,nan,nan,nan
116,X,X,X,O,X,nan,nan,nan,nan,53858.4317729,nan,nan,nan
117,X,X,X,O,X,nan,nan,nan,nan,53858.4322498,nan,nan,nan
118,X,X,X,O,X,nan,nan,nan,nan,53858.4337315,nan,nan,nan
119,X,X,X,O,X,nan,nan,nan,nan,53858.4342822,nan,nan,nan
120,X,X,X,X,O,253.6372723593867,69.94682061228131,1.3687238175908016,1.9128536840105885,53858.4348331,nan,nan,nan
121,X,X,X,O,X,nan,nan,nan,nan,53858.4353654,nan,nan,nan
122,X,X,X,X,X,233.31279898068593,21.605232442224686,11.131717730976884,2.8765244170053395,53858.4358611,24.22883640811421,46.015544133541795,-21.786707725427586
123,X,X,X,O,X,nan,nan,nan,nan,53858.4364303,nan,nan,nan
124,X,X,X,O,X,nan,nan,nan,nan,53858.4587449,nan,nan,nan
125,X,X,X,O,X,nan,nan,nan,nan,53858.4582633,nan,nan,nan
126,X,X,X,O,X,nan,nan,nan,nan,53858.4582264,nan,nan,nan
127,X,X,X,O,X,nan,nan,nan,nan,53858.4384719,nan,nan,nan
128,X,X,O,X,X,92.56149782659614,32.40528431246182,2.2742098684888554,10.505356890913024,53858.4399998,nan,nan,nan
129,X,X,X,X,X,96.23263823005891,31.762384879648128,9.065928332357421,1.463986060572688,53858.4400367,11.43009940587724,13.745833730413494,-2.3157343245362547
130,X,X,X,O,X,nan,nan,nan,nan,53858.457208,nan,nan,nan
131,X,X,X,O,X,nan,nan,nan,nan,53858.4562447,nan,nan,nan
132,X,X,X,O,X,nan,nan,nan,nan,53858.4419767,nan,nan,nan
133,X,X,X,X,O,74.14845020958285,238.08722591971798,1.5752557715142719,1.0632550332102348,53858.4435923,nan,nan,nan
134,X,X,X,O,X,nan,nan,nan,nan,53858.4420181,nan,nan,nan
135,X,X,X,O,X,nan,nan,nan,nan,53858.4450414,nan,nan,nan
136,X,X,X,O,X,nan,nan,nan,nan,53858.4552312,nan,nan,nan
137,X,X,X,O,X,nan,nan,nan,nan,53858.4450782,nan,nan,nan
138,X,X,X,O,X,nan,nan,nan,nan,53858.4546616,nan,nan,nan
139,X,X,X,O,X,nan,nan,nan,nan,53858.4485368,nan,nan,nan
140,X,X,X,O,X,nan,nan,nan,nan,53858.4536339,nan,nan,nan
141,X,X,X,O,X,nan,nan,nan,nan,53858.4536661,nan,nan,nan
142,X,X,X,O,X,nan,nan,nan,nan,53858.4531386,nan,nan,nan
143,X,X,X,O,X,nan,nan,nan,nan,53858.4506015,nan,nan,nan
144,X,X,X,X,X,112.06484155926825,226.78097400140405,1.312782786411147,1.4113206689003306,53858.4465645,0.314714856587905,6.0899030624440025,-5.7751882058560975
145,X,X,X,O,X,nan,nan,nan,nan,53858.4516292,nan,nan,nan
146,X,X,X,O,X,nan,nan,nan,nan,53858.4117548,nan,nan,nan
147,X,X,X,O,X,nan,nan,nan,nan,53858.4112778,nan,nan,nan
148,X,X,X,O,X,nan,nan,nan,nan,53858.4117916,nan,nan,nan
149,X,X,X,O,X,nan,nan,nan,nan,53858.4128334,nan,nan,nan
150,X,X,X,O,X,nan,nan,nan,nan,53858.4133058,nan,nan,nan
151,X,X,X,O,X,nan,nan,nan,nan,53858.4133426,nan,nan,nan
152,X,X,X,O,X,nan,nan,nan,nan,53858.4143981,nan,nan,nan
153,X,X,X,O,X,nan,nan,nan,nan,53858.4164815,nan,nan,nan
154,X,X,X,O,X,nan,nan,nan,nan,53858.4159169,nan,nan,nan
155,X,X,X,O,X,nan,nan,nan,nan,53858.4175324,nan,nan,nan
156,X,X,X,O,X,nan,nan,nan,nan,53858.4180094,nan,nan,nan
157,X,X,X,O,X,nan,nan,nan,nan,53858.4195789,nan,nan,nan
158,X,X,X,O,X,nan,nan,nan,nan,53858.4201064,nan,nan,nan
159,X,X,X,O,X,nan,nan,nan,nan,53858.4196157,nan,nan,nan
160,X,X,X,O,X,nan,nan,nan,nan,53858.4241436,nan,nan,nan
161,X,X,X,O,X,nan,nan,nan,nan,53858.4251576,nan,nan,nan
162,X,X,X,O,X,nan,nan,nan,nan,53858.4251944,nan,nan,nan
163,X,X,X,O,X,nan,nan,nan,nan,53858.426185,nan,nan,nan
164,X,X,X,O,X,nan,nan,nan,nan,53858.4277267,nan,nan,nan
165,X,X,X,O,X,nan,nan,nan,nan,53858.4292127,nan,nan,nan
166,X,X,X,O,X,nan,nan,nan,nan,53858.4297314,nan,nan,nan
167,X,X,X,O,X,nan,nan,nan,nan,53858.4317361,nan,nan,nan
168,X,X,X,O,X,nan,nan,nan,nan,53858.4312361,nan,nan,nan
169,X,X,X,O,X,nan,nan,nan,nan,53858.4327497,nan,nan,nan
170,X,X,X,O,X,nan,nan,nan,nan,53858.4332268,nan,nan,nan
171,X,X,X,O,X,nan,nan,nan,nan,53858.4342454,nan,nan,nan
172,X,X,X,O,X,nan,nan,nan,nan,53858.4369258,nan,nan,nan
173,X,X,X,O,X,nan,nan,nan,nan,53858.4379765,nan,nan,nan
174,X,X,X,O,X,nan,nan,nan,nan,53858.4577219,nan,nan,nan
175,X,X,X,X,O,44.395887775203754,4.72608352883964,10.68035779842049,2.1290918822033467,53858.4390228,nan,nan,nan
176,X,X,X,O,X,nan,nan,nan,nan,53858.4405184,nan,nan,nan
177,X,X,X,O,X,nan,nan,nan,nan,53858.4572448,nan,nan,nan
178,X,X,X,O,X,nan,nan,nan,nan,53858.4566848,nan,nan,nan
179,X,X,X,O,X,nan,nan,nan,nan,53858.4430969,nan,nan,nan
180,X,X,X,O,X,nan,nan,nan,nan,53858.4562079,nan,nan,nan
181,X,X,X,O,X,nan,nan,nan,nan,53858.4557541,nan,nan,nan
182,X,X,X,X,O,111.92448624530512,241.39109117057836,2.0168256423887483,2.7680776601369656e-38,53858.4455461,nan,nan,nan
183,X,X,X,X,X,34.81725434267192,216.87121515088384,1.3802126122707588,1.888196477673784,53858.4440923,7.828336273934772,16.12427889394918,-8.29594262001441
184,X,X,X,X,X,110.8034788232148,227.38785967416575,3.580485329520994,0.6845557214786288,53858.4465276,24.609783228541254,27.8696024223834,-3.259819193842148
185,X,X,X,X,O,406.539956709895,-74.14088820176576,0.8569254850644109,238.76122640193185,53858.4460414,nan,nan,nan
186,X,X,X,X,O,111.56984691569347,237.25927113946537,0.04185199557995067,7.458593433010661,53858.4455829,nan,nan,nan
187,X,X,X,O,X,nan,nan,nan,nan,53858.4485736,nan,nan,nan
188,X,X,X,O,X,nan,nan,nan,nan,53858.4490368,nan,nan,nan
189,X,X,X,X,O,237.0947927207354,218.16329821436918,1.6403087991552625,1.191920031108506,53858.4496013,nan,nan,nan
190,X,X,X,O,X,nan,nan,nan,nan,53858.4541247,nan,nan,nan
191,X,X,X,O,X,nan,nan,nan,nan,53858.451597,nan,nan,nan
192,X,X,X,O,X,nan,nan,nan,nan,53858.4526615,nan,nan,nan
1,X,X,X,O,X,nan,nan,nan,nan,53858.411241,nan,nan,nan
2,X,X,X,O,X,nan,nan,nan,nan,53858.4148752,nan,nan,nan
3,X,X,X,O,X,nan,nan,nan,nan,53858.4153937,nan,nan,nan
4,X,X,X,O,X,nan,nan,nan,nan,53858.4169817,nan,nan,nan
5,X,X,X,O,X,nan,nan,nan,nan,53858.4175002,nan,nan,nan
6,X,X,X,O,X,nan,nan,nan,nan,53858.4191203,nan,nan,nan
7,X,X,X,O,X,nan,nan,nan,nan,53858.4206063,nan,nan,nan
8,X,X,X,O,X,nan,nan,nan,nan,53858.4220971,nan,nan,nan
9,X,X,X,O,X,nan,nan,nan,nan,53858.4200742,nan,nan,nan
10,X,X,X,O,X,nan,nan,nan,nan,53858.4231065,nan,nan,nan
11,X,X,X,O,X,nan,nan,nan,nan,53858.4236297,nan,nan,nan
12,X,X,X,O,X,nan,nan,nan,nan,53858.426736,nan,nan,nan
13,X,X,X,O,X,nan,nan,nan,nan,53858.4276899,nan,nan,nan
14,X,X,X,O,X,nan,nan,nan,nan,53858.4307823,nan,nan,nan
15,X,X,X,O,X,nan,nan,nan,nan,53858.4307454,nan,nan,nan
16,X,X,X,O,X,nan,nan,nan,nan,53858.4327175,nan,nan,nan
17,X,X,X,O,X,nan,nan,nan,nan,53858.4332591,nan,nan,nan
18,X,X,X,O,X,nan,nan,nan,nan,53858.4337683,nan,nan,nan
19,X,X,O,X,X,91.47922959649169,182.619515802704,0.6321773808769303,1.6971651320694132,53858.4347963,nan,nan,nan
20,X,X,O,X,X,132.75673465256648,34.50981295887146,1.7743940048264302,3.7710081555916557,53858.4353333,nan,nan,nan
21,X,X,O,X,X,69.99239024548177,134.16226616552106,1.6481725997823062,3.403385020278755,53858.4358979,nan,nan,nan
22,X,X,X,X,O,52.196616754172084,17.077914849730494,47.27802968036837,2.0163913686404427,53858.4374443,nan,nan,nan
23,X,X,O,X,X,112.95413734329652,81.10455636403987,11.383388596768864,3.565002291998896,53858.4379397,nan,nan,nan
24,X,X,X,X,O,-337.9651440403918,-224.83534572460906,336.30018852186856,5.1329231897821606,53858.438435,nan,nan,nan
25,X,X,X,O,X,nan,nan,nan,nan,53858.438986,nan,nan,nan
26,X,X,X,O,X,nan,nan,nan,nan,53858.4394952,nan,nan,nan
27,X,X,X,O,X,nan,nan,nan,nan,53858.4410045,nan,nan,nan
28,X,X,X,O,X,nan,nan,nan,nan,53858.4405553,nan,nan,nan
29,X,X,X,O,X,nan,nan,nan,nan,53858.4424999,nan,nan,nan
30,X,X,X,O,X,nan,nan,nan,nan,53858.4410413,nan,nan,nan
31,X,X,X,O,X,nan,nan,nan,nan,53858.4435553,nan,nan,nan
32,X,X,X,O,X,nan,nan,nan,nan,53858.4445783,nan,nan,nan
33,X,X,X,O,X,nan,nan,nan,nan,53858.4460736,nan,nan,nan
34,X,X,X,O,X,nan,nan,nan,nan,53858.4470922,nan,nan,nan
35,X,X,X,O,X,nan,nan,nan,nan,53858.455268,nan,nan,nan
36,X,X,X,O,X,nan,nan,nan,nan,53858.4475461,nan,nan,nan
37,X,X,X,O,X,nan,nan,nan,nan,53858.4546939,nan,nan,nan
38,X,X,X,O,X,nan,nan,nan,nan,53858.4475829,nan,nan,nan
39,X,X,X,O,X,nan,nan,nan,nan,53858.449069,nan,nan,nan
40,X,X,X,O,X,nan,nan,nan,nan,53858.4500692,nan,nan,nan
41,X,X,X,O,X,nan,nan,nan,nan,53858.4511292,nan,nan,nan
42,X,X,X,O,X,nan,nan,nan,nan,53858.4526247,nan,nan,nan
43,X,X,X,O,X,nan,nan,nan,nan,53858.4510971,nan,nan,nan
44,X,X,X,O,X,nan,nan,nan,nan,53858.4102549,nan,nan,nan
45,X,X,X,O,X,nan,nan,nan,nan,53858.4102135,nan,nan,nan
46,X,X,X,O,X,nan,nan,nan,nan,53858.4122873,nan,nan,nan
47,X,X,X,O,X,nan,nan,nan,nan,53858.4138104,nan,nan,nan
48,X,X,X,O,X,nan,nan,nan,nan,53858.414912,nan,nan,nan
49,X,X,X,O,X,nan,nan,nan,nan,53858.4170139,nan,nan,nan
50,X,X,X,O,X,nan,nan,nan,nan,53858.4185743,nan,nan,nan
51,X,X,X,O,X,nan,nan,nan,nan,53858.4190835,nan,nan,nan
52,X,X,X,O,X,nan,nan,nan,nan,53858.4220603,nan,nan,nan
53,X,X,X,O,X,nan,nan,nan,nan,53858.4211064,nan,nan,nan
54,X,X,X,O,X,nan,nan,nan,nan,53858.4215972,nan,nan,nan
55,X,X,X,O,X,nan,nan,nan,nan,53858.4231388,nan,nan,nan
56,X,X,X,O,X,nan,nan,nan,nan,53858.4236666,nan,nan,nan
57,X,X,X,O,X,nan,nan,nan,nan,53858.4246529,nan,nan,nan
58,X,X,X,O,X,nan,nan,nan,nan,53858.4241804,nan,nan,nan
59,X,X,X,O,X,nan,nan,nan,nan,53858.4256574,nan,nan,nan
60,X,X,X,O,X,nan,nan,nan,nan,53858.4266991,nan,nan,nan
61,X,X,X,O,X,nan,nan,nan,nan,53858.4272314,nan,nan,nan
62,X,X,X,O,X,nan,nan,nan,nan,53858.428676,nan,nan,nan
63,X,X,X,O,X,nan,nan,nan,nan,53858.4287128,nan,nan,nan
64,X,X,X,O,X,nan,nan,nan,nan,53858.4296945,nan,nan,nan
65,X,X,X,O,X,nan,nan,nan,nan,53858.4291759,nan,nan,nan
66,X,X,X,O,X,nan,nan,nan,nan,53858.430236,nan,nan,nan
67,X,X,X,O,X,nan,nan,nan,nan,53858.4312683,nan,nan,nan
68,X,X,X,O,X,nan,nan,nan,nan,53858.432213,nan,nan,nan
69,X,X,O,X,X,223.51336313421174,106.59788478468488,1.8636657220319963,0.5878869655385364,53858.4363981,nan,nan,nan
70,X,X,O,X,X,145.80410736576314,71.43046370880721,3.46982736278801,1.2386136753889956,53858.4374812,nan,nan,nan
71,X,X,X,O,X,nan,nan,nan,nan,53858.4587864,nan,nan,nan
72,X,X,O,X,X,120.60653055344092,164.98892081371753,4.190227168242741,1.408663320688954,53858.4369627,nan,nan,nan
73,X,X,X,O,X,nan,nan,nan,nan,53858.4577588,nan,nan,nan
74,X,X,X,O,X,nan,nan,nan,nan,53858.4395322,nan,nan,nan
75,X,X,X,O,X,nan,nan,nan,nan,53858.4414999,nan,nan,nan
76,X,X,X,O,X,nan,nan,nan,nan,53858.4567264,nan,nan,nan
77,X,X,X,O,X,nan,nan,nan,nan,53858.4425321,nan,nan,nan
78,X,X,X,O,X,nan,nan,nan,nan,53858.4415367,nan,nan,nan
79,X,X,X,O,X,nan,nan,nan,nan,53858.44306,nan,nan,nan
80,X,X,X,O,X,nan,nan,nan,nan,53858.4445415,nan,nan,nan
81,X,X,X,O,X,nan,nan,nan,nan,53858.44406,nan,nan,nan
82,X,X,X,O,X,nan,nan,nan,nan,53858.4470553,nan,nan,nan
83,X,X,X,O,X,nan,nan,nan,nan,53858.4557172,nan,nan,nan
84,X,X,X,O,X,nan,nan,nan,nan,53858.4480737,nan,nan,nan
85,X,X,X,O,X,nan,nan,nan,nan,53858.4480369,nan,nan,nan
86,X,X,X,O,X,nan,nan,nan,nan,53858.4541616,nan,nan,nan
87,X,X,X,O,X,nan,nan,nan,nan,53858.4495645,nan,nan,nan
88,X,X,X,O,X,nan,nan,nan,nan,53858.4505645,nan,nan,nan
89,X,X,X,O,X,nan,nan,nan,nan,53858.4501015,nan,nan,nan
90,X,X,X,O,X,nan,nan,nan,nan,53858.4521201,nan,nan,nan
91,X,X,X,O,X,nan,nan,nan,nan,53858.4531708,nan,nan,nan
92,X,X,X,O,X,nan,nan,nan,nan,53858.4521523,nan,nan,nan
93,X,X,X,O,X,nan,nan,nan,nan,53858.410741,nan,nan,nan
94,X,X,X,O,X,nan,nan,nan,nan,53858.4107778,nan,nan,nan
95,X,X,X,O,X,nan,nan,nan,nan,53858.4127966,nan,nan,nan
96,X,X,X,O,X,nan,nan,nan,nan,53858.4123242,nan,nan,nan
97,X,X,X,O,X,nan,nan,nan,nan,53858.4138472,nan,nan,nan
98,X,X,X,O,X,nan,nan,nan,nan,53858.4143613,nan,nan,nan
99,X,X,X,O,X,nan,nan,nan,nan,53858.4159491,nan,nan,nan
100,X,X,X,O,X,nan,nan,nan,nan,53858.4164446,nan,nan,nan
101,X,X,X,O,X,nan,nan,nan,nan,53858.4154305,nan,nan,nan
102,X,X,X,O,X,nan,nan,nan,nan,53858.4180463,nan,nan,nan
103,X,X,X,O,X,nan,nan,nan,nan,53858.4186111,nan,nan,nan
104,X,X,X,O,X,nan,nan,nan,nan,53858.4210649,nan,nan,nan
105,X,X,X,O,X,nan,nan,nan,nan,53858.4226341,nan,nan,nan
106,X,X,X,O,X,nan,nan,nan,nan,53858.4205741,nan,nan,nan
107,X,X,X,O,X,nan,nan,nan,nan,53858.4215649,nan,nan,nan
108,X,X,X,O,X,nan,nan,nan,nan,53858.4226018,nan,nan,nan
109,X,X,X,O,X,nan,nan,nan,nan,53858.424685,nan,nan,nan
110,X,X,X,O,X,nan,nan,nan,nan,53858.4256942,nan,nan,nan
111,X,X,X,O,X,nan,nan,nan,nan,53858.4261528,nan,nan,nan
112,X,X,X,O,X,nan,nan,nan,nan,53858.4271946,nan,nan,nan
113,X,X,X,O,X,nan,nan,nan,nan,53858.4281759,nan,nan,nan
114,X,X,X,O,X,nan,nan,nan,nan,53858.4282081,nan,nan,nan
115,X,X,X,O,X,nan,nan,nan,nan,53858.430199,nan,nan,nan
116,X,X,X,O,X,nan,nan,nan,nan,53858.4317729,nan,nan,nan
117,X,X,X,O,X,nan,nan,nan,nan,53858.4322498,nan,nan,nan
118,X,X,X,O,X,nan,nan,nan,nan,53858.4337315,nan,nan,nan
119,X,X,X,O,X,nan,nan,nan,nan,53858.4342822,nan,nan,nan
120,X,X,O,X,X,89.315771509973,182.11349785717582,3.8708142472175413,1.2236771438044116,53858.4348331,nan,nan,nan
121,X,X,O,X,X,129.87810877074327,32.81717042395784,4.661133229193404,1.439850981347511,53858.4353654,nan,nan,nan
122,X,X,O,X,X,80.65018004418775,136.06265330263741,3.179772887086472,7.1913185884244495,53858.4358611,nan,nan,nan
123,X,X,O,X,X,223.08914185975053,106.58592923965166,3.5045768691624035,1.1194059950593656,53858.4364303,nan,nan,nan
124,X,X,X,O,X,nan,nan,nan,nan,53858.4587449,nan,nan,nan
125,X,X,X,O,X,nan,nan,nan,nan,53858.4582633,nan,nan,nan
126,X,X,X,O,X,nan,nan,nan,nan,53858.4582264,nan,nan,nan
127,X,X,O,X,X,130.28199558145496,108.10190115477617,3.232875462283806,1.5294399293194376,53858.4384719,nan,nan,nan
128,X,X,X,O,X,nan,nan,nan,nan,53858.4399998,nan,nan,nan
129,X,X,X,O,X,nan,nan,nan,nan,53858.4400367,nan,nan,nan
130,X,X,X,O,X,nan,nan,nan,nan,53858.457208,nan,nan,nan
