AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
11638016,2004-07-18T23:03:55.314,NO,--,--,0.4,53204.9610569,417.178083106215,3.611960271635214,0.8658077732035594,0
11638272,2004-07-28T18:14:38.110,NO,--,--,0.4,53214.7601633,420.4841818799817,3.2687212288112706,0.7773707953047941,0
11679488,2004-06-18T02:13:15.601,NO,--,--,0.4,53174.0925417,417.89702148759454,5.051254105343097,1.2087317797485297,0
11849216,2004-08-11T22:23:16.762,NO,--,--,0.4,53228.9328329,418.31437237477314,4.37722576522849,1.0463962164099105,0
11849984,2004-08-18T18:55:44.158,NO,--,--,0.4,53235.7887055,415.00345018551195,3.845425902721332,0.926600947775826,0
11948800,2004-09-02T10:58:49.709,NO,--,--,0.4,53250.4575198,419.76581126883974,5.059732231031963,1.2053702553187324,0
11949056,2004-09-13T17:30:22.601,NO,--,--,0.4,53261.7294283,418.9023628076199,4.386249694337021,1.0470816313708398,0
12164864,2004-10-04T21:23:04.007,NO,--,--,0.4,53282.8910186,422.96177069247744,6.2412231747944285,1.4755998312982832,0
12165120,2004-10-12T04:20:54.380,NO,--,--,0.4,53290.181185,416.5414867782307,7.244315120792944,1.7391581272791352,0
12272640,2004-10-27T01:06:39.163,NO,--,--,0.4,53305.0462866,420.8145926709549,5.146601146417327,1.2230091912334369,0
12272896,2004-11-01T13:38:42.633,NO,--,--,0.4,53310.568549,417.64062990084875,2.9895255833361003,0.7158129188833562,0
12829952,2004-11-17T18:18:31.515,NO,--,--,0.4,53326.7628648,415.49033513137226,0.7143156376404766,0.1719211199978021,0
12846848,2004-11-28T17:46:00.016,NO,--,--,0.4,53337.740278,418.9806184846013,5.346048745927259,1.2759656437720737,0
12965632,2004-12-14T20:26:34.292,NO,--,--,0.4,53353.8517858,422.49887553065946,7.821144552128781,1.8511634006848914,0
12965888,2004-12-21T17:48:35.713,NO,--,--,0.4,53360.74208,420.4663153400453,5.0322495416418125,1.1968258474099316,0
13096448,2005-01-15T21:33:22.878,NO,--,--,0.4,53385.8981815,421.651847387408,4.628204156836093,1.0976363996773293,0
13096704,2005-01-22T17:35:47.867,NO,--,--,0.4,53392.7331929,417.95322904575426,5.73147967818401,1.371320827277679,0
13221120,2005-02-18T22:01:06.458,NO,--,--,0.4,53419.9174359,421.31631711878083,5.465569112614737,1.2972602509182765,0
13221376,2005-02-25T16:20:56.471,NO,--,--,0.4,53426.6812092,417.6768014823034,2.992634319215868,0.7164952203702085,0
13395968,2005-03-24T19:30:30.003,NO,--,--,0.4,53453.8128473,420.70578260281974,6.584497454208995,1.5651074281584791,0
13396224,2005-03-31T05:52:22.739,NO,--,--,0.4,53460.2447076,422.55174792316285,2.8872634888168736,0.6832922838463553,0
13538816,2005-05-06T01:47:15.477,NO,--,--,0.4,53496.0744847,419.95522955590604,5.1790357283918675,1.2332352031592964,0
13539328,2005-05-10T17:25:58.861,NO,--,--,0.4,53500.7263757,417.47754331448016,0.866784095864998,0.20762412487707427,0
15259392,2005-06-10T02:10:16.631,NO,--,--,0.4,53531.0904703,420.75691486756085,3.369280262410194,0.8007664623814257,0
15262464,2005-06-15T19:27:22.953,NO,--,--,0.4,53536.8106823,419.54300278017274,1.9782411513927134,0.4715228566043441,0
15360768,2005-05-27T06:15:47.675,NO,--,--,0.4,53517.2609685,422.7706825022045,4.480312546719397,1.0597500565087161,0
15361024,2005-05-27T19:43:48.287,NO,--,--,0.4,53517.8220867,419.62668382146165,2.907238515790159,0.6928154542781889,0
15361280,2005-05-29T13:44:03.317,NO,--,--,0.4,53519.5722606,416.21269018498276,4.114899968541589,0.9886531731439401,0
15380736,2005-07-14T18:00:44.777,NO,--,--,0.4,53565.7505183,418.228173068487,3.8735833502846586,0.9261890039268922,0
15383040,2005-07-26T15:08:11.597,NO,--,--,0.4,53577.6306898,420.3292484809373,6.328097056921358,1.5055095689369684,0
15760128,2005-08-18T09:58:47.957,NO,--,--,0.4,53600.4158328,419.9427335593147,5.955663003847605,1.4182083717389526,0
15763968,2005-08-25T14:55:06.797,NO,--,--,0.4,53607.6216064,420.7674952299847,7.238148242530189,1.7202251420523662,0
15968256,2005-09-15T00:44:22.571,NO,--,--,0.4,53628.0308168,420.81352815885765,5.479131720318062,1.3020331699625596,0
15970560,2005-09-23T13:20:55.006,NO,--,--,0.4,53636.5561922,418.6544679497477,3.216066106888287,0.7681910389343608,0
16144128,2005-10-20T16:52:37.529,NO,--,--,0.4,53663.7032121,424.6438487898184,2.246979750044739,0.529144542290757,0
16219904,2005-11-02T13:54:22.180,NO,--,--,0.4,53676.5794234,420.2806992909944,3.6303219094721295,0.8637850645048449,0
16367360,2005-11-23T17:59:25.224,NO,--,--,0.4,53697.7495975,419.44703776355965,3.4691243996445777,0.8270709022387011,0
16401408,2005-12-08T18:02:05.439,NO,--,--,0.4,53712.7514518,421.82861833560565,2.753104459341855,0.6526594782034189,0
16403712,2005-11-29T23:41:23.938,NO,--,--,0.4,53703.9870826,416.6982193648049,4.638154699882733,1.1130728388887567,0
16522496,2005-12-10T13:38:56.348,NO,--,--,0.4,53714.5687077,421.53581244587247,6.759194970411061,1.6034687376126504,0
16576256,2005-12-22T15:59:54.630,NO,--,--,0.4,53726.6666045,418.86230886384436,8.117275994086937,1.9379342142540552,0
16576512,2006-01-05T20:17:36.828,NO,--,--,0.4,53740.8455651,413.4932875465221,3.0193446476117267,0.7302040295568331,0
16741632,2006-02-04T02:54:55.061,NO,--,--,0.4,53770.1214706,422.31586612182934,6.390245595129112,1.513143622523919,0
16741888,2006-02-13T23:21:54.981,NO,--,--,0.4,53779.973553,391.8124082684622,46.622746277651736,11.899252114983234,0
