AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Workable/Total Files in AOR,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
16144128,"270.62808754,  58.627265",2005-10-20T16:50:40.326,CRYO,FULL,5/10,NO,--,--,0.4,53663.7018556,636.5601859323175,6.388708128552106,1.0036298640316452,0
16219904,"270.62808754,  58.627265",2005-11-02T13:53:26.579,CRYO,FULL,5/10,NO,--,--,0.4,53676.5787799,642.8962870612276,2.7287817607712426,0.42445131752819737,0
16367360,"270.62808754,  58.627265",2005-11-23T17:58:48.419,CRYO,FULL,5/10,NO,--,--,0.4,53697.7491715,640.9816550209922,3.3330844992241206,0.5199968631106863,0
16401408,"270.62808754,  58.627265",2005-12-08T17:59:47.447,CRYO,FULL,5/10,NO,--,--,0.4,53712.7498547,639.3782831618364,6.364330740581447,0.9953936360035139,0
16403712,"270.62808754,  58.627265",2005-11-29T23:40:28.337,CRYO,FULL,5/10,NO,--,--,0.4,53703.9864391,640.3932906749529,4.532327832818743,0.7077413050411291,0
16522496,"270.62808754,  58.627265",2005-12-10T13:37:59.953,CRYO,FULL,5/10,NO,--,--,0.4,53714.568055,636.5401301623153,5.354960903101685,0.8412605347813955,0
16576256,"270.62808754,  58.627265",2005-12-22T15:59:35.040,CRYO,FULL,5/10,NO,--,--,0.4,53726.6663778,638.1936376303895,4.466272356040593,0.6998302854638044,0
16576512,"270.62808754,  58.627265",2006-01-05T20:17:00.019,CRYO,FULL,5/10,NO,--,--,0.4,53740.8451391,640.7700230185867,3.409692681171106,0.5321242503056672,0
16741632,"270.62808754,  58.627265",2006-02-04T02:52:56.659,CRYO,FULL,5/10,NO,--,--,0.4,53770.1201002,639.7131324446204,2.75567150445956,0.43076675539377274,0
16741888,"270.62808754,  58.627265",2006-02-13T23:20:18.595,CRYO,FULL,5/10,NO,--,--,0.4,53779.9724374,638.4675846240212,4.36140860603461,0.6831057223684962,0
16964352,"270.62808754,  58.627265",2006-03-22T23:45:52.817,CRYO,FULL,5/10,NO,--,--,0.4,53816.9901946,643.0826433122028,4.444846977816126,0.6911781905546234,0
16966656,"270.62808754,  58.627265",2006-03-29T18:45:07.778,CRYO,FULL,5/10,NO,--,--,0.4,53823.78134,642.8374068224053,3.121794182485922,0.48562733738803254,0
17122304,"270.62808754,  58.627265",2006-04-26T23:24:49.176,CRYO,FULL,5/10,NO,--,--,0.4,53851.9755692,640.9268908611557,4.995357620324491,0.779395854902059,0
17122560,"270.62808754,  58.627265",2006-05-03T19:44:49.371,CRYO,FULL,5/10,NO,--,--,0.4,53858.8227936,640.0843410444066,5.801190124334187,0.9063165199243207,0
17244672,"270.62808754,  58.627265",2006-06-01T00:29:31.593,CRYO,FULL,5/10,NO,--,--,0.4,53887.0205045,642.4951714539446,3.200861218945128,0.49819226060511684,0
17244928,"270.62808754,  58.627265",2006-06-05T22:23:48.439,CRYO,FULL,5/10,NO,--,--,0.4,53891.9331995,640.3642583514841,4.041466881165171,0.6311199959175242,0
19360256,"270.62808754,  58.627265",2006-07-05T23:31:58.177,CRYO,FULL,5/10,NO,--,--,0.4,53921.9805345,635.7105355442902,5.12831530839571,0.8067060433417055,0
