AORKEY,DateObs,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%)
11641856,2004-07-18T23:10:44.504,NO,--,--,2.0,53204.9657929,38.96200005202422,0.4615958375657712,1.1847334247457084
11642112,2004-07-28T18:21:23.898,NO,--,--,2.0,53214.7648599,39.254884534671724,0.3622089984763223,0.9227106454902514
11854336,2004-08-11T22:29:51.749,NO,--,--,2.0,53228.9374045,39.207272159301674,0.4282761025324394,1.092338433524082
11855104,2004-08-18T19:02:28.547,NO,--,--,2.0,53235.793386,39.053770317907215,0.28596191807414983,0.7322261480680357
11951104,2004-09-13T17:36:58.600,NO,--,--,2.0,53261.7340116,38.882161201435146,0.360470643452196,0.9270848952678354
11953664,2004-09-02T11:05:25.501,NO,--,--,2.0,53250.4621007,38.97746425865036,0.31221778796487276,0.8010212924397245
12170496,2004-10-04T21:29:45.607,NO,--,--,2.0,53282.8956667,39.44237170011413,1.3391124876591067,3.395111475142941
12170752,2004-10-12T04:27:40.375,NO,--,--,2.0,53290.185884,38.89143866657609,0.5244589818137783,1.3485203936785874
12278272,2004-10-27T01:13:18.744,NO,--,--,2.0,53305.0509114,38.874717794873824,0.5081013739144611,1.3070226685515935
12278528,2004-11-01T13:45:28.632,NO,--,--,2.0,53310.5732481,39.2058901206346,0.3864311200697661,0.985645572338076
12840960,2004-11-17T18:25:12.506,NO,--,--,2.0,53326.7675059,38.61156950608857,0.8957581472624365,2.319921616035801
12848128,2004-11-28T17:52:36.003,NO,--,--,2.0,53337.7448611,39.22425474717798,0.4261700999720231,1.0864963597624102
12972544,2004-12-14T20:33:07.681,NO,--,--,2.0,53353.8563389,39.12272012204319,0.41241962590013403,1.0541690981956071
12972800,2004-12-21T17:55:18.497,NO,--,--,2.0,53360.7467419,39.17790242889253,0.2783548255942664,0.7104893532763205
13099008,2005-01-15T21:40:18.470,NO,--,--,2.0,53385.9029916,37.76796224056238,3.2735242027669,8.667463131625276
13099264,2005-01-22T17:42:44.647,NO,--,--,2.0,53392.7380167,38.81253594895515,0.32214835815612264,0.8300111040922462
13227264,2005-02-18T22:07:59.847,NO,--,--,2.0,53419.9222205,38.83125337153662,0.5291155717815168,1.3626023520769472
13227520,2005-02-25T16:27:43.259,NO,--,--,2.0,53426.6859173,38.719250015900954,0.5060425516341784,1.3069533925020769
13401600,2005-03-24T19:37:24.001,NO,--,--,2.0,53453.8176389,39.186352073036794,0.4794029396887243,1.223392620969662
13401856,2005-03-31T05:59:17.733,NO,--,--,2.0,53460.2495108,39.029216595187144,0.41104489256927357,1.053172285861257
13545984,2005-05-06T01:54:11.468,NO,--,--,2.0,53496.0792994,38.62511726079128,1.2843381025887068,3.3251370964573113
13546240,2005-05-10T17:33:01.453,NO,--,--,2.0,53500.7312668,38.92468837202499,0.5562206027862702,1.4289661036465062
15260928,2005-06-10T02:16:18.821,NO,--,--,2.0,53531.0946623,38.99842418713673,0.3474914350552547,0.8910396824953547
15264000,2005-06-15T19:33:31.741,NO,--,--,2.0,53536.8149507,39.147402979434666,1.109908773511102,2.835204097942771
15264000,2005-06-15T19:33:31.741,NO,--,--,2.0,53536.8149507,39.147402979434666,1.109908773511102,2.835204097942771
15264000,2005-06-15T19:33:31.741,NO,--,--,2.0,53536.8149507,39.147402979434666,1.109908773511102,2.835204097942771
15382016,2005-07-14T18:06:59.171,NO,--,--,2.0,53565.7548515,39.277094334091984,1.1871362878233345,3.022464639887876
15384320,2005-07-26T15:14:22.799,NO,--,--,2.0,53577.6349861,38.51541506246537,1.1866934874076192,3.0810871062482557
15761408,2005-08-18T10:05:00.355,NO,--,--,2.0,53600.420143,38.73640625446696,0.6636298563933725,1.7131941771620716
15762688,2005-08-25T15:01:12.991,NO,--,--,2.0,53607.6258448,38.898526698733924,0.25910147588760263,0.6660958598620547
