File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Ap Out Of Bound,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
32,Y,N,N,N,N,nan,nan,nan,nan,53823.691744,nan,nan,nan
33,Y,N,N,N,N,nan,nan,nan,nan,53823.6923806,nan,nan,nan
34,N,N,N,Y,Y,nan,nan,nan,nan,53823.6899472,nan,nan,nan
35,N,N,N,N,N,20.47594628643001,10.26731085687365,2.2113129412846115,1.718599583467673,53823.6816186,159723.4829965529,3134.659444135944,156588.82355241696
36,N,N,N,N,N,20.918072558609953,19.85136997202449,1.9037407507498085,1.3977210046251773,53823.6813735,158258.43009456818,3185.244484067376,155073.1856105008
37,N,N,N,N,Y,15.31844967431468,7.792982368682972,1.5258194844405513,2.382351112453425,53823.6817413,nan,nan,nan
38,N,N,N,Y,Y,nan,nan,nan,nan,53823.683473,nan,nan,nan
39,N,N,N,Y,Y,nan,nan,nan,nan,53823.6839635,nan,nan,nan
40,N,N,N,Y,Y,nan,nan,nan,nan,53823.6840863,nan,nan,nan
41,Y,N,N,N,N,nan,nan,nan,nan,53823.6871291,nan,nan,nan
42,Y,N,N,N,N,nan,nan,nan,nan,53823.6865158,nan,nan,nan
43,N,N,N,Y,Y,nan,nan,nan,nan,53823.6892111,nan,nan,nan
44,Y,N,N,N,N,nan,nan,nan,nan,53823.6920122,nan,nan,nan
45,Y,N,N,N,N,nan,nan,nan,nan,53823.6927484,nan,nan,nan
1,N,N,N,N,Y,10.903353816210803,6.8839151940203,1.4156670394577835,1.277047142299937,53822.6008548,nan,nan,nan
2,N,N,N,N,Y,15.17494120774249,7.499660558474762,1.7893722865326205,1.3571016762412185,53822.6018596,nan,nan,nan
3,Y,N,N,N,N,nan,nan,nan,nan,53822.6036293,nan,nan,nan
4,N,N,N,N,Y,10.444944124135807,23.20923755717817,1.773542513227814,1.5733432456320082,53822.6012461,nan,nan,nan
5,Y,N,N,N,N,nan,nan,nan,nan,53822.6046338,nan,nan,nan
6,Y,N,N,N,N,nan,nan,nan,nan,53822.6062623,nan,nan,nan
7,Y,N,N,N,N,nan,nan,nan,nan,53822.6068989,nan,nan,nan
8,Y,N,N,N,N,nan,nan,nan,nan,53822.6066537,nan,nan,nan
9,Y,N,N,N,N,nan,nan,nan,nan,53822.6071442,nan,nan,nan
10,N,N,N,N,N,21.008013649060853,19.665802720753934,1.3392837805285465,1.5564649055088915,53822.6014915,57682.40588224287,1010.2631191258206,56672.14276311705
11,Y,N,N,N,N,nan,nan,nan,nan,53822.6040206,nan,nan,nan
