File#,Coord Conversion Issue,Centroiding Issue,Bad Center Guess,Not In FOV,Xc,Yc,Fx,Fy,Time[MJD],Raw_Flux,Bkg_Flux,Res_Flux
1,X,X,X,O,nan,nan,nan,nan,55041.269259,nan,nan,nan
2,X,X,X,X,130.09383128284895,126.82279391035682,1.377538000828636,1.270564465118421,55041.2695042,18245.80334656532,105.72876872999801,18140.074577835323
3,X,X,X,O,nan,nan,nan,nan,55041.2697173,nan,nan,nan
4,X,X,X,X,67.60305644895323,189.68888385089997,1.5953761883418005,1.9328724202296155,55041.2699395,17808.177128454736,205.81313501011147,17602.363993444626
5,X,X,X,O,nan,nan,nan,nan,55041.2701802,nan,nan,nan
6,X,X,X,X,193.14532452683179,189.6301743421739,1.5332579759900649,1.418084801136,55041.2704024,17638.99485767633,73.4049283990809,17565.58992927725
7,X,X,X,O,nan,nan,nan,nan,55041.2706339,nan,nan,nan
8,X,X,X,X,193.11658857380593,63.66324992439045,1.3982660241373233,1.4983147931772915,55041.2708562,18218.670771698737,232.11257121929384,17986.55820047944
9,X,X,X,O,nan,nan,nan,nan,55041.2710414,nan,nan,nan
10,X,X,X,X,67.18854381280538,64.04734902085896,1.4706805961866405,1.0783841123664772,55041.271259,18318.201076093555,121.3278908728998,18196.873185220655
1,X,X,X,O,nan,nan,nan,nan,55048.9987334,nan,nan,nan
2,X,X,X,X,130.0096024132618,127.06178322322381,1.599217900196171,1.1673822357777575,55048.9989787,18199.5803288132,-36.540494709997446,18236.120823523197
3,X,X,X,O,nan,nan,nan,nan,55048.9991963,nan,nan,nan
4,X,X,X,X,67.23217372091325,190.02196573938926,1.480833091231947,1.1052983639630776,55048.9994185,18711.411999856085,-47.193407527673436,18758.60540738376
5,X,X,X,O,nan,nan,nan,nan,55048.9996639,nan,nan,nan
6,X,X,X,X,192.96563885272968,189.92909737226537,1.4384082444207043,1.1946950492310868,55048.9998862,17889.362980761245,-91.1563231523145,17980.51930391356
7,X,X,X,O,nan,nan,nan,nan,55049.0001222,nan,nan,nan
8,X,X,X,X,192.83290354770858,63.96466322637308,1.302749647951869,1.5924978895026267,55049.0003444,18183.078005302712,83.2938023519888,18099.784202950723
9,X,X,X,O,nan,nan,nan,nan,55049.0005297,nan,nan,nan
10,X,X,X,X,66.95379048872721,64.20454353787801,1.5666099663738566,1.4876391415385404,55049.000752,17665.091644625423,100.60252520082149,17564.4891194246
1,X,X,X,O,nan,nan,nan,nan,55057.3263721,nan,nan,nan
2,X,X,X,X,129.45312817866576,126.98988355171022,1.339074585922762,1.7026999672759446,55057.3266128,17606.423351469035,-153.01916391833996,17759.442515387374
3,X,X,X,O,nan,nan,nan,nan,55057.3268304,nan,nan,nan
4,X,X,X,X,67.02398692755452,189.87446936381298,1.3996189935718308,1.2573682995261446,55057.327048,18255.531448407248,-310.742930529554,18566.274378936803
5,X,X,X,O,nan,nan,nan,nan,55057.3272933,nan,nan,nan
6,X,X,X,X,192.38526368502346,189.87300930162507,1.3150772678534604,1.697517027792892,55057.3275201,16983.22628388191,-280.27790651043335,17263.504190392345
7,X,X,X,O,nan,nan,nan,nan,55057.3277516,nan,nan,nan
8,X,X,X,X,192.24136283235916,63.86712047908639,1.2727816040827469,1.4589717913000764,55057.3279738,17522.0101795339,-132.73438959354317,17654.744569127444
9,X,X,X,O,nan,nan,nan,nan,55057.328159,nan,nan,nan
10,X,X,X,X,66.37744558523288,64.1238051395555,1.5909264020771725,1.4171663525733955,55057.3283766,17558.63157963672,-84.3407139449651,17642.972293581686
1,X,X,X,O,nan,nan,nan,nan,55063.6864554,nan,nan,nan
2,X,X,X,X,129.86472489549337,126.91885338646725,1.6284272863354325,1.31017690544725,55063.6867008,17785.37465012351,-44.02420280895797,17829.39885293247
3,X,X,X,O,nan,nan,nan,nan,55063.6869137,nan,nan,nan
4,X,X,X,X,67.1409887903649,189.87637411329104,1.2009729285756947,1.3358942096401027,55063.6871359,18403.152483354905,-319.32493199313575,18722.47741534804
5,X,X,X,O,nan,nan,nan,nan,55063.6873814,nan,nan,nan
6,X,X,X,X,192.8329256645812,189.92141034960656,1.3018813761966759,1.612036318591759,55063.6876036,17489.36177330908,-185.0288113306508,17674.390584639732
7,X,X,X,O,nan,nan,nan,nan,55063.6878396,nan,nan,nan
8,X,X,X,X,192.60565707636553,63.97157009943832,1.8109753504599924,1.3445434929321642,55063.6880573,17488.843656324847,-67.09352403566025,17555.937180360506
9,X,X,X,O,nan,nan,nan,nan,55063.688247,nan,nan,nan
10,X,X,X,X,66.71592622620948,64.26000037889365,1.801389480953832,1.6503066440011964,55063.6884645,17087.16381378115,-126.66571894522751,17213.829532726377
1,X,X,X,O,nan,nan,nan,nan,55069.5503196,nan,nan,nan
2,X,X,X,X,130.04766347590436,126.83522938970127,1.287853545003157,1.4317363122527191,55069.5505556,18071.346414088162,-118.21805872384763,18189.56447281201
3,X,X,X,O,nan,nan,nan,nan,55069.5507733,nan,nan,nan
4,X,X,X,X,67.27304793879588,189.7799379341528,1.5326768219708438,1.4073890686946167,55069.550991,17427.41606074838,-177.46718704718037,17604.88324779556
5,X,X,X,O,nan,nan,nan,nan,55069.5512364,nan,nan,nan
