AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
13856000,"241.359375, -19.805167",2006-03-25T02:27:15.135,CRYO,SUB,NO,large,9,0.02,53819.1022585,12490.457972714494,122.36996515916285,0.9797075930000407,0
13857024,"242.998917, -19.460583",2006-03-29T16:37:33.459,CRYO,SUB,NO,large,9,0.02,53823.6927484,5762.4558173041205,45.6739179701652,0.7926120289375695,0
13858048,"237.744792, -25.751278",2006-03-28T14:34:06.656,CRYO,SUB,NO,large,7,0.02,53822.6070215,2067.7905165775646,19.168272508954836,0.9269929596485708,0
13858560,"238.474667, -24.533111",2006-03-28T14:42:29.061,CRYO,SUB,NO,large,9,0.02,53822.6128364,1255.63384262879,24.5494478119277,1.955143846754805,0
13860352,"238.673333, -22.76625",2006-03-25T01:53:48.036,CRYO,SUB,NO,large,7,0.02,53819.0790282,384.47238545827156,10.539444196127354,2.7412746909156747,0
13861376,"240.481125, -21.980444",2006-03-25T02:39:01.921,CRYO,SUB,NO,large,4,0.02,53819.1104389,319.91167992840076,14.02335138527239,4.383507156853713,0
13856256,"243.593208, -33.011056",2005-08-24T05:58:56.665,CRYO,SUB,NO,large,5,0.02,53606.249267,6940.405511600071,61.43253661512801,0.8851433322224581,0
13856512,"239.712958, -26.114083",2005-08-24T01:04:03.938,CRYO,SUB,NO,large,8,0.02,53606.04449,7026.303339382243,88.4375645398227,1.2586641974896315,0
13856768,"248.970667, -28.216028",2005-08-24T05:33:06.787,CRYO,SUB,NO,large,9,0.02,53606.2313286,6222.87172542584,77.3305181069737,1.242682181459909,0
13857536,"239.221125, -29.214111",2005-08-24T06:28:29.983,CRYO,SUB,NO,large,7,0.02,53606.2697915,2776.4425430080287,26.95032634705328,0.9706783385423492,0
13858304,"243.075875, -27.926389",2005-08-24T05:48:35.273,CRYO,SUB,NO,large,6,0.02,53606.2420749,1734.406307763281,28.40574981696442,1.637779434370078,0
