AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
13858816,"239.645292, -24.831444",2005-08-23T23:58:41.853,CRYO,SUB,NO,large,2,0.02,53605.9990955,919.7637745949125,9.724187376378932,1.0572483549552398,0
13859072,"239.418583, -20.983111",2005-08-24T00:07:02.230,CRYO,SUB,NO,large,4,0.02,53606.0048869,888.986683419063,8.36410561863992,0.9408583699444608,0
13859328,"241.526583, -23.606278",2005-08-24T01:46:31.738,CRYO,SUB,NO,large,2,0.02,53606.0739784,752.3756653674413,7.961508343827439,1.058182595517525,0
13859584,"243.439542, -24.422111",2005-08-24T07:07:19.367,CRYO,SUB,NO,large,9,0.02,53606.2967519,651.7401289806917,8.948137703449516,1.3729609863741583,0
13859840,"238.625458, -27.338639",2005-08-24T06:42:32.262,CRYO,SUB,NO,large,7,0.02,53606.2795401,515.5093073674125,9.594194730989367,1.8611098953740939,0
13862400,"239.497292, -31.728944",2005-08-24T06:23:52.672,CRYO,SUB,NO,large,7,0.02,53606.2665819,260.59990971689126,12.953287456442249,4.970564828865195,0
13862656,"244.567375, -28.041694",2005-08-24T05:41:44.786,CRYO,SUB,NO,large,6,0.02,53606.2373239,261.57231977343895,23.597937941439266,9.02157306318904,0
13862912,"246.461083, -26.568417",2005-08-24T05:37:44.091,CRYO,SUB,NO,large,9,0.02,53606.2345381,297.36056651428186,21.616250753753775,7.269373678945952,0
13863168,"244.210917, -25.862972",2005-08-24T01:52:07.221,CRYO,SUB,NO,large,7,0.02,53606.0778614,279.977339563975,6.175814053808181,2.205826394173948,0
13863936,"235.380083, -25.343417",2005-08-24T06:47:04.163,CRYO,SUB,NO,large,6,0.02,53606.2826871,241.55098536132735,7.271473892492352,3.0103267356227996,0
13864192,"242.605625, -23.1065",2005-08-24T01:34:54.842,CRYO,SUB,NO,large,5,0.02,53606.0659125,228.6222392683485,8.808476681161999,3.8528520713258034,0
13864448,"242.181917, -25.376861",2005-08-24T01:15:27.725,CRYO,SUB,NO,large,8,0.02,53606.0524042,237.64612229214652,9.362663505158343,3.9397501692236747,0
13864704,"246.291333, -30.79925",2005-08-24T06:11:25.463,CRYO,SUB,NO,large,9,0.02,53606.2579336,227.47163300023092,17.973858703512054,7.901582481492893,0
13864960,"237.217208, -29.483389",2005-08-24T06:38:11.673,CRYO,SUB,NO,large,8,0.02,53606.276524,217.11259566185794,9.962882060641354,4.588808875998169,0
13865216,"252.544583, -26.742528",2005-08-24T05:25:20.109,CRYO,SUB,NO,large,7,0.02,53606.2259272,204.03210064053553,24.688240623833256,12.1001747011021,0
13865472,"241.802792, -27.099444",2005-08-24T01:10:19.937,CRYO,SUB,NO,large,4,0.02,53606.0488419,223.17412333342114,10.896917375133444,4.882697515452318,0
13865984,"247.796083, -29.997861",2005-08-24T06:14:44.267,CRYO,SUB,NO,large,3,0.02,53606.2602346,218.01016614358,16.574708902571647,7.602722935248652,0
13857280,"239.737167, -13.16975",2005-08-23T13:25:24.290,CRYO,SUB,NO,large,6,0.02,53605.5593089,3137.127944799324,25.290256367131867,0.8061595450404762,0
13857792,"239.547333, -14.279306",2005-08-20T13:58:28.810,CRYO,SUB,NO,large,5,0.02,53602.5822779,4009.3125294776964,37.91347111306056,0.9456352138754234,0
13860608,"242.146417, -20.758222",2005-08-23T15:42:35.450,CRYO,SUB,NO,large,9,0.02,53605.654577,417.3225243558472,12.6811838003577,3.0387010190575214,0
13861120,"246.012042, -25.414972",2005-08-18T03:53:35.510,CRYO,SUB,NO,large,3,0.02,53600.1622165,437.4265711481532,18.679418410252403,4.270298066535565,0
13861888,"233.043042, -21.966806",2005-08-18T02:50:27.014,CRYO,SUB,NO,large,1,0.02,53600.1183682,279.4795533860491,14.009011917061795,5.01253553161041,0
13863424,"233.817083, -25.734194",2005-08-21T14:52:49.525,CRYO,SUB,NO,large,2,0.02,53603.6200177,251.57625697167316,13.149491626838522,5.226841270763926,0
13863680,"241.7695, -16.94325",2005-08-22T15:56:37.230,CRYO,SUB,NO,large,6,0.02,53604.6643198,239.49179871506627,12.280978636099269,5.12793285698709,0
13860096,"244.244875, -21.304083",2005-09-15T13:46:20.976,CRYO,SUB,NO,large,8,0.02,53628.5738539,444.4721048087559,16.435011747783154,3.6976475171270167,0
13860864,"245.022875, -20.056361",2005-09-15T14:34:33.564,CRYO,SUB,NO,large,9,0.02,53628.6073329,366.303612245901,12.966129155329998,3.5397218924026848,0
13862144,"244.617708, -23.274306",2005-09-15T17:53:20.818,CRYO,SUB,NO,large,9,0.02,53628.7453798,281.3651982680888,10.082421952140836,3.583393402667433,0
13865728,"245.338125, -22.108972",2005-09-17T22:41:04.693,CRYO,SUB,NO,large,8,0.02,53630.9451932,212.91810626438223,7.100936576906683,3.335055294963684,0
