AORKEY,Target Coordinates,DateObs,Mission,Read Mode,Cycling DPattern,DScale,DPosition,FTime (sec),Time (MJD),Flux (mJy),Error (mJy),Spread (%),Outliers Rejected
3962880,"63.385,  28.16027778",2005-02-20T05:50:31.705,CRYO,FULL,NO,small,3,0.6,53421.2434225,-0.2774765392991829,0.0,-0.0,0
3962880,"63.30958333,  28.3191666",2005-02-20T05:50:31.705,CRYO,FULL,NO,small,3,0.6,53421.2434225,102.01245379361255,10.955554173961032,10.739428144847748,0
3963136,"66.2075,  26.9175",2005-02-20T14:47:57.459,CRYO,FULL,NO,small,3,12.0,53421.6166373,0.2524696315837115,0.0,0.0,0
3963136,"66.2375,  27.19833333",2005-02-20T14:47:57.459,CRYO,FULL,NO,small,3,12.0,53421.6166373,194.89554020689337,44.164716171566404,22.66071154049133,0
3963136,"66.25791667,  27.0861111",2005-02-20T14:47:57.459,CRYO,FULL,NO,small,3,12.0,53421.6166373,0.6202647453308425,0.0,0.0,0
3963136,"65.2925,  27.0275",2005-02-20T14:47:57.459,CRYO,FULL,NO,small,3,12.0,53421.6166373,68.41349218748059,5.6524331655736155,8.2621614316715,0
3963136,"65.01875,  27.0525",2005-02-20T14:47:57.459,CRYO,FULL,NO,small,3,12.0,53421.6166373,2.1260869558152784,0.0,0.0,0
3963136,"65.81916667,  27.9872222",2005-02-20T14:47:57.459,CRYO,FULL,NO,small,3,12.0,53421.6166373,7.254295030629222,0.0,0.0,0
3963136,"65.51416667,  28.1908333",2005-02-20T14:47:57.459,CRYO,FULL,NO,small,3,12.0,53421.6166373,0.17858679062943444,0.0,0.0,0
3963136,"65.51916667,  28.3238888",2005-02-20T14:47:57.459,CRYO,FULL,NO,small,3,12.0,53421.6166373,-0.3016259862345991,0.0,-0.0,0
3964160,"68.94208333,  22.4577777",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,1.791534266575516,0.0,0.0,0
3964160,"69.16291667,  22.9694444",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,5.338644694842954,0.8075709584002377,15.126890897615613,0
3964160,"69.04333333,  22.9988888",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,6.1397762592930505,1.4807791782419477,24.11780357632199,0
3964160,"68.96958333,  22.9058333",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,337.45247730211435,178.3767203261831,52.85980466117191,0
3964160,"68.98958333,  22.7936111",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,10.61691147770394,0.6353160493778318,5.984000626849232,2
3964160,"68.83791667,  22.9063888",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,123.654702405894,0.0,0.0,0
3964160,"68.85791667,  22.7955555",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,-1.77898285081853,0.0,-0.0,0
3964160,"68.48708333,  22.7286111",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,0.26556965110483094,0.06755173016105985,25.436539860646384,0
3964160,"68.32958333,  22.7766666",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,621.4147590848918,328.5090106447249,52.864693965185836,2
3964160,"68.35083333,  22.6627777",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,2.173241456538189,0.0,0.0,0
3964160,"68.205,  22.88361111",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,361.60555960394214,75.44054908960364,20.862662944737867,0
3964160,"68.225,  22.77027778",2005-02-20T08:06:05.592,CRYO,FULL,NO,small,1,12.0,53421.3375647,-1.3699618317437519,0.0,-0.0,0
3964416,"68.91625,  24.02888889",2005-02-20T00:05:46.362,CRYO,FULL,NO,small,2,12.0,53421.0040088,-0.985766808209468,0.0,-0.0,0
3964416,"68.75,  24.36972222",2005-02-20T00:05:46.362,CRYO,FULL,NO,small,2,12.0,53421.0040088,3.2029175056849533,0.0,0.0,0
3964416,"68.29208333,  24.5619444",2005-02-20T00:05:46.362,CRYO,FULL,NO,small,2,12.0,53421.0040088,112.74097049271614,14.785978437866195,13.115000139919387,0
3964416,"68.39375,  24.35083333",2005-02-20T00:05:46.362,CRYO,FULL,NO,small,2,12.0,53421.0040088,821.4543631319311,0.0,0.0,0
3964416,"68.07791667,  24.3738888",2005-02-20T00:05:46.362,CRYO,FULL,NO,small,2,12.0,53421.0040088,161.62876295510333,36.62731719067405,22.661385585713017,0
3964416,"68.09541667,  24.2622222",2005-02-20T00:05:46.362,CRYO,FULL,NO,small,2,12.0,53421.0040088,0.06809964537383428,0.0,0.0,0
3964416,"67.96041667,  24.4052777",2005-02-20T00:05:46.362,CRYO,FULL,NO,small,2,12.0,53421.0040088,188.38508100488252,37.80286503666912,20.066804035129167,0
3964416,"67.62416667,  24.4452777",2005-02-20T00:05:46.362,CRYO,FULL,NO,small,2,12.0,53421.0040088,301.8344872590252,86.02807885993441,28.50173936091926,0
3964416,"67.64333333,  24.3319444",2005-02-20T00:05:46.362,CRYO,FULL,NO,small,2,12.0,53421.0040088,1.0060268718285534,0.0,0.0,0
3965952,"65.52083333,  19.4258333",2005-02-20T04:45:30.346,CRYO,FULL,NO,small,3,12.0,53421.1982679,0.2913659423410961,0.0,0.0,0
3966976,"60.80875,  25.88277778",2005-02-20T04:53:18.560,CRYO,FULL,NO,small,3,0.6,53421.203687,27.21013798745248,0.7680681025242233,2.8227277012648946,0
3966976,"60.83375,  25.77305556",2005-02-20T04:53:18.560,CRYO,FULL,NO,small,3,0.6,53421.203687,0.3686083257647033,0.0,0.0,0
4912896,"62.73208333,  25.0952777",2005-02-20T20:51:50.384,CRYO,FULL,NO,medium,1,0.6,53421.8693331,2.035467529916681,0.0,0.0,0
11233024,"67.03208333,  24.235",2005-02-20T04:37:53.571,CRYO,FULL,NO,--,--,0.6,53421.1929811,1.5363934223193147,0.0,0.0,0
11237376,"66.39333333,  24.16",2005-02-20T10:13:27.298,CRYO,FULL,NO,--,--,0.6,53421.4260104,6.083352594764216,0.0,0.0,0
12663552,"74.45375,  30.25472222",2005-02-20T05:19:12.141,CRYO,FULL,NO,small,1,12.0,53421.2216683,0.6656196609887859,0.09190757633187152,13.807821751440114,0
11231488,"69.09083333,  24.0913888",2005-02-21T15:15:34.476,CRYO,FULL,NO,--,--,12.0,53422.6358157,0.11764019852997569,0.0,0.0,0
3653632,"64.15333333,  28.2408333",2005-02-22T15:25:48.895,CRYO,FULL,NO,--,--,0.6,53423.642927,-0.826504510072001,0.0,-0.0,0
11230720,"69.82833333,  24.5280555",2005-02-22T04:34:41.917,CRYO,FULL,NO,--,--,12.0,53423.1907629,1.426131595296756,0.0,0.0,0
11231232,"68.77958333,  26.5747222",2005-02-22T14:17:47.674,CRYO,FULL,NO,--,--,12.0,53423.5956907,2.071684496857102,0.0,0.0,0
3964672,"67.71458333,  24.7055555",2005-02-23T05:49:11.804,CRYO,FULL,NO,small,1,12.0,53424.2424977,165.5669530770636,0.2995871989137697,0.18094625367317477,0
3964672,"67.28125,  24.73027778",2005-02-23T05:49:11.804,CRYO,FULL,NO,small,1,12.0,53424.2424977,7193.666947169542,131.36425455857196,1.8261097646487405,0
3964672,"67.36833333,  24.44",2005-02-23T05:49:11.804,CRYO,FULL,NO,small,1,12.0,53424.2424977,3.5858106717645173,0.0,0.0,0
3964672,"66.735,  24.72611111",2005-02-23T05:49:11.804,CRYO,FULL,NO,small,1,12.0,53424.2424977,217.27585641100384,52.34498640597361,24.091487784522485,0
3964672,"66.755,  24.61305556",2005-02-23T05:49:11.804,CRYO,FULL,NO,small,1,12.0,53424.2424977,3.7765079024593775,0.0,0.0,0
3964672,"65.91375,  24.93694444",2005-02-23T05:49:11.804,CRYO,FULL,NO,small,1,12.0,53424.2424977,198.89306317499987,48.28319007775262,24.27595478041873,0
11230464,"70.82583333,  25.1252777",2005-02-23T01:29:16.820,CRYO,FULL,NO,--,--,0.6,53424.0620002,0.32086048577202914,0.0,0.0,0
14604800,"65.90333333,  26.67",2005-09-17T01:04:23.146,CRYO,FULL,NO,small,8,1.2,53630.0447123,1.7518466201498057,0.0,0.0,0
14604800,"65.87958333,  26.7808333",2005-09-17T01:04:23.146,CRYO,FULL,NO,small,8,1.2,53630.0447123,-9.61531783391644,0.0,-0.0,0
14618112,"65.46666667,  15.6091666",2005-09-17T21:49:18.093,CRYO,FULL,NO,small,8,1.2,53630.9092372,-1.069902729694431,0.3920907356013777,-36.64732547353726,0
14609920,"67.36041667,  26.1294444",2006-03-24T23:40:25.019,CRYO,FULL,NO,small,2,1.2,53818.9864007,-0.07782933343135112,0.9703300413446226,-1246.7407834097617,0
14605824,"67.18583333,  26.7502777",2006-03-25T14:04:49.224,CRYO,FULL,NO,small,8,30.0,53819.5866808,-0.0714952896606205,0.016908461569649275,-23.649756018769487,0
14610176,"67.33875,  26.24027778",2006-03-25T13:49:23.856,CRYO,FULL,NO,small,3,1.2,53819.5759706,0.5990680566911086,0.0,0.0,0
14610176,"67.36041667,  26.1294444",2006-03-25T13:49:23.856,CRYO,FULL,NO,small,3,1.2,53819.5759706,-0.042203169614152984,0.10187696939815183,-241.39648829595734,0
14611968,"68.22416667,  24.3097222",2006-03-25T00:06:08.983,CRYO,FULL,NO,small,4,30.0,53819.0042706,-0.20236500280966643,0.0,-0.0,0
14612224,"68.22416667,  24.3097222",2006-03-26T12:01:43.618,CRYO,FULL,NO,small,8,30.0,53820.5011993,2.526404070430104,0.0,0.0,0
14610432,"76.07,  25.18138889",2006-03-29T04:32:28.304,CRYO,FULL,NO,small,3,1.2,53823.1892165,-0.2413206250587344,0.5260367592181862,-217.98251147831044,0
14610432,"76.08375,  25.06916667",2006-03-29T04:32:28.304,CRYO,FULL,NO,small,3,1.2,53823.1892165,0.700022096175207,0.0,0.0,0
18363904,"66.65041667,  24.6216666",2007-03-28T22:18:56.551,CRYO,FULL,NO,small,5,30.0,54187.9298212,0.6197045716943671,0.0,0.0,0
18364416,"65.50208333,  26.7655555",2007-03-28T22:10:26.157,CRYO,FULL,NO,small,4,30.0,54187.9239139,-0.053970829521228815,0.0,-0.0,0
18364672,"69.06333333,  21.8825",2007-03-28T22:31:27.335,CRYO,FULL,NO,small,5,30.0,54187.9385108,-0.6800547013272394,0.0,-0.0,0
24242688,"65.57,  24.55694444",2007-10-16T10:06:49.662,CRYO,FULL,NO,--,--,0.6,54389.4214081,-1.1806195900256806,0.0,-0.0,0
24243456,"65.17708333,  26.9330555",2007-10-17T00:21:41.583,CRYO,FULL,NO,--,--,0.6,54390.0150646,0.008602783641301591,0.0,0.0,0
24244224,"70.1375,  26.0025",2007-10-16T05:19:35.950,CRYO,FULL,NO,--,--,12.0,54389.2219439,0.9004105841058666,0.0,0.0,0
24244480,"68.54541667,  28.1230555",2007-10-16T09:40:30.879,CRYO,FULL,NO,--,--,12.0,54389.4031352,-0.3950438025078295,0.7824607671480304,-198.0693690625668,0
24244992,"68.34375,  26.9275",2007-10-16T04:55:43.776,CRYO,FULL,NO,--,--,0.6,54389.2053678,-0.12463920651368939,0.0,-0.0,0
24246016,"66.24083333,  27.3747222",2007-10-16T04:01:35.808,CRYO,FULL,NO,--,--,12.0,54389.1677756,-2.270574898134177,0.0,-0.0,0
24246272,"65.49041667,  27.6644444",2007-10-16T06:06:15.899,CRYO,FULL,NO,--,--,12.0,54389.2543507,-4.164643072266975,0.0,-0.0,0
24246784,"68.57833333,  27.8988888",2007-10-16T09:55:50.069,CRYO,FULL,NO,--,--,12.0,54389.4137739,0.29050900245882283,0.002663847325552804,0.9169586150537217,0
24242944,"65.52958333,  24.7886111",2007-10-23T08:27:26.851,CRYO,FULL,NO,--,--,12.0,54396.3523941,0.29031281635426825,0.0,0.0,0
26472448,"64.09958333,  20.9991666",2008-10-31T18:43:16.742,CRYO,FULL,NO,medium,2,12.0,54770.7800549,-1.6811702650199218,0.0,-0.0,0
26475008,"66.68708333,  21.5311111",2008-10-31T20:41:18.304,CRYO,FULL,NO,medium,3,12.0,54770.8620174,-0.8462402513703448,0.0,-0.0,0
26476800,"75.6525,  22.01555556",2008-10-31T20:33:42.925,CRYO,FULL,NO,medium,3,0.6,54770.8567468,-0.07657214223035741,0.005310229168660897,-6.934936145165898,0
26476544,"73.93791667,  30.6027777",2008-11-01T13:07:31.252,CRYO,FULL,NO,medium,4,0.6,54771.5468895,0.3893912475156832,0.0,0.0,0
26472960,"64.1975,  31.78611111",2008-11-02T13:52:15.683,CRYO,FULL,NO,medium,4,12.0,54772.5779593,0.07275807088334134,0.0,0.0,0
26475520,"70.215,  21.04416667",2008-11-02T13:32:50.516,CRYO,FULL,NO,medium,1,0.6,54772.5644736,1.2264882168313305,0.0,0.0,0
